time,open,high,low,close,volume,spread
2023-03-16,0.91084,0.91666,0.90848,0.91317,98903,0
2023-03-17,0.91291,0.92104,0.9106,0.92015,69958,0
2023-03-20,0.92015,0.92129,0.91527,0.91785,69262,0
2023-03-21,0.91738,0.91894,0.91053,0.91461,51403,0
2023-03-22,0.91436,0.92312,0.91346,0.91751,57657,0
2023-03-23,0.91713,0.92282,0.91509,0.91682,66612,0
2023-03-24,0.91648,0.9179,0.91253,0.91299,64351,0
2023-03-27,0.91318,0.91462,0.907,0.90842,53625,0
2023-03-28,0.90828,0.91361,0.90751,0.91214,45366,0
2023-03-29,0.91218,0.91228,0.90577,0.90616,44708,0
2023-03-30,0.90596,0.90939,0.90461,0.90752,42857,0
2023-03-31,0.90731,0.91013,0.90291,0.90341,48740,0
2023-04-03,0.90159,0.91271,0.89878,0.91161,55199,0
2023-04-04,0.91,0.91228,0.90358,0.90759,51991,0
2023-04-05,0.90764,0.91031,0.8998,0.90437,50042,0
2023-04-06,0.90398,0.90456,0.89752,0.90013,41625,0
2023-04-07,0.89953,0.90268,0.89831,0.89941,26461,0
2023-04-10,0.8989,0.90131,0.89648,0.89722,31915,0
2023-04-11,0.8964,0.90094,0.89475,0.89579,39802,0
2023-04-12,0.8951,0.90331,0.89491,0.89965,49863,0
2023-04-13,0.89888,0.90678,0.89865,0.9048,47023,0
2023-04-14,0.90346,0.90544,0.89572,0.89647,50978,0
2023-04-17,0.89506,0.89806,0.89435,0.89756,45380,0
2023-04-18,0.89674,0.90206,0.89506,0.90066,45870,0
2023-04-19,0.89994,0.90464,0.8983,0.90365,45064,0
2023-04-20,0.90338,0.91065,0.90189,0.90855,44852,0
2023-04-21,0.90748,0.90932,0.90364,0.90614,42929,0
2023-04-24,0.90541,0.90676,0.90391,0.90676,41645,0
2023-04-25,0.90613,0.90731,0.90237,0.90283,44904,0
2023-04-26,0.90278,0.90404,0.8987,0.90033,57968,0
2023-04-27,0.89902,0.90347,0.8989,0.90105,54092,0
2023-04-28,0.90078,0.90298,0.89511,0.89608,59082,0
2023-05-01,0.89443,0.90382,0.89429,0.89796,47685,0
2023-05-02,0.89736,0.91062,0.89641,0.90782,63731,0
2023-05-03,0.90693,0.91056,0.90652,0.90842,61059,0
2023-05-04,0.9075,0.91001,0.90478,0.90608,69686,0
2023-05-05,0.90588,0.91061,0.90263,0.90318,54932,0
2023-05-08,0.9017,0.90788,0.9015,0.90674,43171,0
2023-05-09,0.90632,0.90717,0.90333,0.90501,44914,0
2023-05-10,0.9046,0.90936,0.90119,0.90638,53501,0
2023-05-11,0.90643,0.90813,0.902,0.90402,58023,0
2023-05-12,0.90408,0.90467,0.89939,0.90029,46994,0
2023-05-15,0.89918,0.90425,0.89911,0.90219,45898,0
2023-05-16,0.90191,0.90329,0.89536,0.89701,49828,0
2023-05-17,0.89682,0.89828,0.89523,0.89593,49987,0
2023-05-18,0.8958,0.89725,0.89098,0.89394,48836,0
2023-05-19,0.8936,0.90114,0.89143,0.89755,59177,0
2023-05-22,0.89637,0.89914,0.89516,0.89835,51537,0
2023-05-23,0.89758,0.89906,0.89218,0.89236,53259,0
2023-05-24,0.89232,0.89302,0.88786,0.88955,57336,0
2023-05-25,0.88845,0.88985,0.88621,0.88737,54761,0
2023-05-26,0.88672,0.89069,0.88592,0.88738,52079,0
2023-05-29,0.88728,0.89051,0.88632,0.88855,28089,0
2023-05-30,0.88763,0.88992,0.88462,0.88633,54917,0
2023-05-31,0.88596,0.88932,0.87832,0.88279,58854,0
2023-06-01,0.8811,0.88591,0.88025,0.88385,55490,0
2023-06-02,0.88237,0.89074,0.88168,0.88721,50282,0
2023-06-05,0.88615,0.89154,0.88489,0.88956,45584,0
2023-06-06,0.8896,0.89558,0.88775,0.89409,49135,0
2023-06-07,0.89392,0.89887,0.88919,0.88944,52605,0
2023-06-08,0.88923,0.89791,0.88908,0.89692,47554,0
2023-06-09,0.89518,0.9,0.89436,0.89926,48133,0
2023-06-12,0.89744,0.90324,0.89591,0.90232,41408,0
2023-06-13,0.90189,0.90638,0.89953,0.9009,55377,0
2023-06-14,0.90078,0.9081,0.89921,0.90527,52961,0
2023-06-15,0.90523,0.91056,0.90277,0.90985,54128,0
2023-06-16,0.90953,0.91172,0.9051,0.90743,54016,0
2023-06-19,0.90731,0.90792,0.90256,0.9047,36797,0
2023-06-20,0.90488,0.9053,0.89533,0.89821,59720,0
2023-06-21,0.89753,0.89873,0.89102,0.89466,63892,0
2023-06-22,0.89424,0.89524,0.88772,0.8884,55524,0
2023-06-23,0.88829,0.88948,0.87969,0.87994,59811,0
2023-06-26,0.88003,0.8805,0.87735,0.87806,50177,0
2023-06-27,0.87749,0.88382,0.87639,0.88203,57282,0
2023-06-28,0.88185,0.88224,0.87459,0.87506,56773,0
2023-06-29,0.87478,0.88011,0.87408,0.87685,65825,0
2023-06-30,0.87633,0.88294,0.87534,0.88232,69576,0
2023-07-03,0.88138,0.88544,0.87957,0.88411,57828,0
2023-07-04,0.88313,0.88595,0.88019,0.88482,45879,0
2023-07-05,0.88423,0.88605,0.88334,0.8839,63348,0
2023-07-06,0.88358,0.88856,0.88136,0.88565,64390,0
2023-07-07,0.885,0.8891,0.88334,0.88838,76150,0
2023-07-10,0.88607,0.88894,0.88093,0.88641,68959,0
2023-07-11,0.88495,0.88773,0.88232,0.88442,69845,0
2023-07-12,0.88416,0.89612,0.88319,0.89511,86820,0
2023-07-13,0.8938,0.90565,0.89361,0.90301,81602,0
2023-07-14,0.90277,0.90505,0.89939,0.9037,77881,0
2023-07-17,0.90315,0.9046,0.89621,0.89965,65427,0
2023-07-18,0.89923,0.90156,0.89683,0.89695,82337,0
2023-07-19,0.89642,0.89798,0.88951,0.89132,86180,0
2023-07-20,0.89113,0.89861,0.88951,0.89296,88009,0
2023-07-21,0.89258,0.89353,0.88797,0.89005,75990,0
2023-07-24,0.88903,0.89085,0.88647,0.88751,77805,0
2023-07-25,0.88719,0.89578,0.88536,0.89456,75194,0
2023-07-26,0.89454,0.89524,0.88834,0.89246,86110,0
2023-07-27,0.89214,0.89811,0.88683,0.88711,92828,0
2023-07-28,0.88697,0.88794,0.87724,0.88058,98188,0
2023-07-31,0.87967,0.8875,0.87967,0.88589,74770,0
2023-08-01,0.88566,0.88667,0.87768,0.87843,74459,0
2023-08-02,0.87785,0.87987,0.87106,0.8728,78310,0
2023-08-03,0.87253,0.87559,0.87123,0.87465,91436,0
2023-08-04,0.87468,0.88219,0.87286,0.8789,87815,0
2023-08-07,0.87745,0.88154,0.87711,0.87884,69935,0
2023-08-08,0.87748,0.87925,0.87442,0.878,76731,0
2023-08-09,0.87764,0.88098,0.87617,0.87617,74024,0
2023-08-10,0.87578,0.88484,0.87488,0.87605,82092,0
2023-08-11,0.87563,0.87811,0.8721,0.8731,80205,0
2023-08-14,0.87173,0.87448,0.86896,0.87323,75714,0
2023-08-15,0.87235,0.87655,0.87055,0.87135,89065,0
2023-08-16,0.87114,0.87362,0.86833,0.86926,86389,0
2023-08-17,0.86882,0.87075,0.86253,0.86743,90922,0
2023-08-18,0.86724,0.8696,0.86529,0.86769,84722,0
2023-08-21,0.86745,0.8695,0.86536,0.86868,80678,0
2023-08-22,0.86808,0.87323,0.86769,0.87026,76982,0
2023-08-23,0.86884,0.87723,0.86884,0.8765,72138,0
2023-08-24,0.87611,0.87683,0.87087,0.8715,75740,0
2023-08-25,0.87113,0.87467,0.86972,0.87109,77156,0
2023-08-28,0.86973,0.8747,0.86973,0.87426,57886,0
2023-08-29,0.87396,0.87944,0.87227,0.87804,77746,0
2023-08-30,0.87824,0.8822,0.87544,0.87616,78649,0
2023-08-31,0.87599,0.87991,0.87464,0.87589,79423,0
2023-09-01,0.87555,0.88269,0.87157,0.87588,74997,0
2023-09-04,0.87516,0.87978,0.87451,0.87816,42970,0
2023-09-05,0.87799,0.87868,0.86719,0.87014,74169,0
2023-09-06,0.87009,0.87341,0.86813,0.87016,73569,0
2023-09-07,0.86862,0.87367,0.86849,0.8726,65580,0
2023-09-08,0.8721,0.87576,0.86906,0.86986,61765,0
2023-09-11,0.87018,0.87602,0.86858,0.87294,67410,0
2023-09-12,0.87252,0.87414,0.86936,0.87095,60050,0
2023-09-13,0.87078,0.8716,0.86663,0.86992,73076,0
2023-09-14,0.86987,0.87333,0.86854,0.86974,80643,0
2023-09-15,0.86963,0.87385,0.86751,0.86981,81218,0
2023-09-18,0.86973,0.87127,0.86664,0.86799,65402,0
2023-09-19,0.86729,0.86916,0.86485,0.86776,67543,0
2023-09-20,0.86774,0.8729,0.86712,0.86801,80295,0
2023-09-21,0.86789,0.86913,0.86309,0.86492,84896,0
2023-09-22,0.86443,0.86963,0.86311,0.86832,81199,0
2023-09-25,0.86691,0.86883,0.86374,0.86418,73889,0
2023-09-26,0.86371,0.86653,0.86199,0.86462,85540,0
2023-09-27,0.86428,0.86547,0.85651,0.85748,84422,0
2023-09-28,0.85743,0.86753,0.85668,0.86673,98475,0
2023-09-29,0.86631,0.87373,0.86434,0.87339,94245,0
2023-10-02,0.87119,0.87443,0.86949,0.87017,87373,0
2023-10-03,0.86998,0.87068,0.86251,0.86386,100494,0
2023-10-04,0.86353,0.87113,0.86248,0.86927,107390,0
2023-10-05,0.86899,0.87442,0.86828,0.87296,98671,0
2023-10-06,0.87273,0.87455,0.86589,0.87228,99759,0
2023-10-09,0.86858,0.8714,0.86698,0.87112,98697,0
2023-10-10,0.87098,0.87364,0.86921,0.87349,106234,0
2023-10-11,0.87326,0.87486,0.86998,0.87185,96559,0
2023-10-12,0.87168,0.87329,0.86396,0.86437,93471,0
2023-10-13,0.86403,0.86647,0.85848,0.85981,97201,0
2023-10-16,0.85977,0.86404,0.85917,0.8631,83862,0
2023-10-17,0.863,0.86944,0.86112,0.86872,92343,0
2023-10-18,0.86868,0.87119,0.86683,0.86899,97273,0
2023-10-19,0.86864,0.87001,0.86433,0.86815,110444,0
2023-10-20,0.86818,0.86837,0.86318,0.86575,94259,0
2023-10-23,0.86503,0.86832,0.86315,0.86722,82574,0
2023-10-24,0.86705,0.87383,0.86622,0.87326,88723,0
2023-10-25,0.87267,0.87884,0.86987,0.87042,91915,0
2023-10-26,0.87003,0.87475,0.8664,0.87428,104948,0
2023-10-27,0.87404,0.88134,0.87347,0.87856,94416,0
2023-10-30,0.87737,0.8835,0.87732,0.88133,83566,0
2023-10-31,0.88085,0.88182,0.87648,0.87915,91901,0
2023-11-01,0.87903,0.88707,0.8771,0.88567,98827,0
