time,open,high,low,close,volume,spread
2023-03-15 20:00:00,0.6119,0.61535,0.61123,0.6148,4914,0
2023-03-15 21:00:00,0.61479,0.61658,0.61429,0.61526,6475,0
2023-03-15 22:00:00,0.61526,0.61687,0.61382,0.61668,5906,2
2023-03-15 23:00:00,0.61667,0.61808,0.61655,0.61778,1958,5
2023-03-16 00:00:00,0.61688,0.61762,0.61653,0.617,288,31
2023-03-16 01:00:00,0.61718,0.61794,0.61659,0.61661,1886,6
2023-03-16 02:00:00,0.6166,0.61705,0.61621,0.61644,2128,3
2023-03-16 03:00:00,0.61643,0.61838,0.61586,0.61838,4466,1
2023-03-16 04:00:00,0.61838,0.61883,0.61714,0.61737,3997,3
2023-03-16 05:00:00,0.61737,0.61814,0.61702,0.61704,3179,4
2023-03-16 06:00:00,0.61704,0.61706,0.61581,0.61682,2388,2
2023-03-16 07:00:00,0.61682,0.61733,0.61631,0.61731,1844,3
2023-03-16 08:00:00,0.61728,0.61765,0.61695,0.61747,1875,4
2023-03-16 09:00:00,0.61748,0.61748,0.61657,0.61735,2163,2
2023-03-16 10:00:00,0.61734,0.61762,0.61552,0.61574,4253,0
2023-03-16 11:00:00,0.61572,0.61639,0.61437,0.61622,5522,1
2023-03-16 12:00:00,0.61623,0.61642,0.61533,0.61612,3840,0
2023-03-16 13:00:00,0.61613,0.61795,0.61581,0.61748,3209,0
2023-03-16 14:00:00,0.61748,0.61793,0.6162,0.6162,3469,0
2023-03-16 15:00:00,0.61622,0.61726,0.61549,0.61569,5662,0
2023-03-16 16:00:00,0.61568,0.6173,0.61432,0.61694,8170,0
2023-03-16 17:00:00,0.61693,0.62024,0.61562,0.61955,7867,0
2023-03-16 18:00:00,0.61956,0.62052,0.6184,0.61854,7374,1
2023-03-16 19:00:00,0.61854,0.61867,0.61698,0.61818,5116,1
2023-03-16 20:00:00,0.61818,0.61928,0.6175,0.6189,4514,0
2023-03-16 21:00:00,0.61889,0.61902,0.61764,0.61837,3257,0
2023-03-16 22:00:00,0.61835,0.61917,0.61784,0.619,2876,3
2023-03-16 23:00:00,0.61899,0.61925,0.61846,0.61852,1601,3
2023-03-17 00:00:00,0.61826,0.61872,0.61709,0.61814,323,44
2023-03-17 01:00:00,0.61866,0.61889,0.61816,0.61859,1569,7
2023-03-17 02:00:00,0.61862,0.61929,0.61846,0.61917,1221,2
2023-03-17 03:00:00,0.61917,0.61934,0.61846,0.61905,2119,3
2023-03-17 04:00:00,0.61905,0.62081,0.61887,0.62012,2920,2
2023-03-17 05:00:00,0.62012,0.62115,0.62003,0.62105,1824,2
2023-03-17 06:00:00,0.62105,0.6219,0.62071,0.62168,2269,3
2023-03-17 07:00:00,0.6217,0.62217,0.62143,0.62211,1811,4
2023-03-17 08:00:00,0.62212,0.62213,0.62096,0.62124,1642,1
2023-03-17 09:00:00,0.62123,0.62166,0.6207,0.62105,1715,3
2023-03-17 10:00:00,0.62108,0.62211,0.62031,0.62074,3875,1
2023-03-17 11:00:00,0.62074,0.62181,0.61985,0.61991,4150,0
2023-03-17 12:00:00,0.61991,0.62137,0.61978,0.62092,2822,0
2023-03-17 13:00:00,0.62092,0.62131,0.62024,0.62065,2850,1
2023-03-17 14:00:00,0.62065,0.62109,0.61998,0.62103,3474,0
2023-03-17 15:00:00,0.62103,0.62142,0.62047,0.62074,4219,0
2023-03-17 16:00:00,0.62074,0.62139,0.61977,0.62052,4878,0
2023-03-17 17:00:00,0.62064,0.62163,0.61958,0.62038,5056,0
2023-03-17 18:00:00,0.62039,0.62066,0.61957,0.62041,4744,0
2023-03-17 19:00:00,0.6204,0.62217,0.62039,0.6217,3180,0
2023-03-17 20:00:00,0.6217,0.62305,0.62129,0.62233,2561,0
2023-03-17 21:00:00,0.62236,0.62262,0.62117,0.62124,3479,1
2023-03-17 22:00:00,0.62125,0.62136,0.62024,0.62033,2895,2
2023-03-17 23:00:00,0.62033,0.62092,0.61921,0.62048,1524,3
2023-03-20 00:00:00,0.61976,0.62147,0.61926,0.62062,415,91
2023-03-20 01:00:00,0.62062,0.62304,0.62062,0.62178,3043,5
2023-03-20 02:00:00,0.62178,0.6225,0.62154,0.62228,1612,4
2023-03-20 03:00:00,0.62229,0.6237,0.62213,0.62307,2058,1
2023-03-20 04:00:00,0.62308,0.6231,0.62011,0.62099,2940,3
2023-03-20 05:00:00,0.621,0.62144,0.62075,0.62102,1697,4
2023-03-20 06:00:00,0.62103,0.6211,0.61945,0.61995,2294,4
2023-03-20 07:00:00,0.61995,0.62005,0.6185,0.61884,1499,4
2023-03-20 08:00:00,0.61884,0.61928,0.61878,0.61913,1545,4
2023-03-20 09:00:00,0.61913,0.61914,0.61713,0.61828,3271,1
2023-03-20 10:00:00,0.61827,0.62076,0.61827,0.62061,4938,2
2023-03-20 11:00:00,0.62061,0.62159,0.62033,0.62083,5626,1
2023-03-20 12:00:00,0.62083,0.62097,0.61969,0.62042,4406,0
2023-03-20 13:00:00,0.62042,0.62147,0.6199,0.6213,3544,1
2023-03-20 14:00:00,0.6213,0.62152,0.62038,0.6205,2774,0
2023-03-20 15:00:00,0.62049,0.62165,0.61981,0.62138,3238,1
2023-03-20 16:00:00,0.62138,0.6216,0.62057,0.62145,4345,0
2023-03-20 17:00:00,0.62146,0.62199,0.62101,0.62164,3589,0
2023-03-20 18:00:00,0.62164,0.62235,0.62093,0.62186,3327,1
2023-03-20 19:00:00,0.62186,0.6223,0.6209,0.62221,2985,0
2023-03-20 20:00:00,0.6222,0.62351,0.62197,0.62348,2048,2
2023-03-20 21:00:00,0.62348,0.62373,0.6228,0.62343,1951,0
2023-03-20 22:00:00,0.62343,0.62426,0.62336,0.62388,1454,1
2023-03-20 23:00:00,0.62389,0.62438,0.62388,0.62426,678,2
2023-03-21 00:00:00,0.62309,0.62384,0.62222,0.62379,302,35
2023-03-21 01:00:00,0.62388,0.62422,0.62378,0.62417,2360,7
2023-03-21 02:00:00,0.62417,0.62436,0.62346,0.62412,1354,3
2023-03-21 03:00:00,0.62412,0.6249,0.62229,0.62235,3212,1
2023-03-21 04:00:00,0.62235,0.62263,0.62158,0.62237,2968,4
2023-03-21 05:00:00,0.62237,0.62267,0.62178,0.62214,1697,5
2023-03-21 06:00:00,0.62215,0.62229,0.62129,0.622,1536,2
2023-03-21 07:00:00,0.622,0.62205,0.62141,0.62203,1303,3
2023-03-21 08:00:00,0.62205,0.6224,0.62175,0.62211,1162,2
2023-03-21 09:00:00,0.6221,0.6225,0.62169,0.62244,1442,2
2023-03-21 10:00:00,0.62245,0.62291,0.62156,0.62176,2857,0
2023-03-21 11:00:00,0.62177,0.62227,0.61953,0.61953,3849,1
2023-03-21 12:00:00,0.61954,0.62054,0.61913,0.61935,2573,0
2023-03-21 13:00:00,0.61935,0.61951,0.61762,0.61825,2394,0
2023-03-21 14:00:00,0.61824,0.61841,0.61713,0.61742,2620,1
2023-03-21 15:00:00,0.61743,0.61805,0.61715,0.61769,2690,1
2023-03-21 16:00:00,0.61772,0.61798,0.61681,0.61693,3624,0
2023-03-21 17:00:00,0.61697,0.61704,0.61478,0.61497,4369,0
2023-03-21 18:00:00,0.61501,0.61527,0.61377,0.61445,3437,0
2023-03-21 19:00:00,0.61444,0.61468,0.61295,0.61398,2347,0
2023-03-21 20:00:00,0.61399,0.61496,0.61382,0.61426,1913,1
2023-03-21 21:00:00,0.61427,0.61504,0.61412,0.61498,1443,1
2023-03-21 22:00:00,0.61498,0.61561,0.61487,0.61539,1373,1
2023-03-21 23:00:00,0.61539,0.61539,0.615,0.61518,812,1
2023-03-22 00:00:00,0.61465,0.61533,0.61424,0.61521,350,27
2023-03-22 01:00:00,0.61521,0.61535,0.61502,0.61517,656,8
2023-03-22 02:00:00,0.61518,0.61558,0.61476,0.61555,847,4
2023-03-22 03:00:00,0.61559,0.61575,0.61441,0.61568,1675,3
2023-03-22 04:00:00,0.61566,0.61693,0.61554,0.61668,2038,3
2023-03-22 05:00:00,0.61668,0.61688,0.61616,0.61645,1428,3
2023-03-22 06:00:00,0.61645,0.61746,0.61628,0.61734,1112,4
2023-03-22 07:00:00,0.61732,0.61797,0.6171,0.61774,1147,5
2023-03-22 08:00:00,0.61776,0.61806,0.61739,0.61769,965,3
2023-03-22 09:00:00,0.61769,0.61857,0.61747,0.61773,1273,1
2023-03-22 10:00:00,0.61768,0.61894,0.61762,0.61783,2724,3
2023-03-22 11:00:00,0.61779,0.6178,0.61648,0.6171,2814,0
2023-03-22 12:00:00,0.61711,0.61769,0.61648,0.6173,2168,1
2023-03-22 13:00:00,0.6173,0.61819,0.61706,0.61752,2235,0
2023-03-22 14:00:00,0.61751,0.61778,0.61642,0.61671,1685,0
2023-03-22 15:00:00,0.61672,0.61721,0.61639,0.61667,2168,2
2023-03-22 16:00:00,0.61668,0.61763,0.61631,0.61702,2242,0
2023-03-22 17:00:00,0.61701,0.61705,0.61609,0.61628,2271,0
2023-03-22 18:00:00,0.61628,0.61753,0.61611,0.61751,2636,0
2023-03-22 19:00:00,0.6175,0.6175,0.6161,0.61638,2147,0
2023-03-22 20:00:00,0.61637,0.61708,0.61581,0.61646,1836,2
2023-03-22 21:00:00,0.61644,0.61884,0.61422,0.61701,9204,0
2023-03-22 22:00:00,0.61698,0.61707,0.61362,0.61385,7008,3
2023-03-22 23:00:00,0.61386,0.61402,0.61279,0.61298,2026,0
2023-03-23 00:00:00,0.61309,0.61309,0.61246,0.61283,156,40
2023-03-23 01:00:00,0.61328,0.61442,0.61284,0.61378,1067,11
2023-03-23 02:00:00,0.61378,0.61407,0.61349,0.61392,974,6
2023-03-23 03:00:00,0.61388,0.61526,0.61358,0.61476,2193,1
2023-03-23 04:00:00,0.61476,0.61579,0.61469,0.61564,2134,2
2023-03-23 05:00:00,0.61562,0.61677,0.61541,0.61628,2318,2
2023-03-23 06:00:00,0.61629,0.61641,0.61553,0.61625,2118,4
2023-03-23 07:00:00,0.61626,0.61705,0.61604,0.61698,1317,4
2023-03-23 08:00:00,0.61699,0.6174,0.61666,0.61666,1810,1
2023-03-23 09:00:00,0.61666,0.61694,0.61599,0.61652,2544,1
2023-03-23 10:00:00,0.61651,0.6178,0.61625,0.61712,3629,2
2023-03-23 11:00:00,0.61711,0.61752,0.61364,0.61536,3658,1
2023-03-23 12:00:00,0.61536,0.617,0.61479,0.61588,2724,0
2023-03-23 13:00:00,0.61588,0.61665,0.61489,0.61575,2352,0
2023-03-23 14:00:00,0.61575,0.61608,0.61557,0.61605,2170,0
2023-03-23 15:00:00,0.61605,0.61613,0.61368,0.61374,3680,0
2023-03-23 16:00:00,0.61374,0.61468,0.61324,0.61454,3236,1
2023-03-23 17:00:00,0.61457,0.61481,0.61387,0.61411,3226,0
2023-03-23 18:00:00,0.61411,0.61475,0.61365,0.61439,2987,0
2023-03-23 19:00:00,0.61438,0.6146,0.61321,0.61378,2544,0
2023-03-23 20:00:00,0.61378,0.61379,0.61308,0.61322,2567,1
2023-03-23 21:00:00,0.61322,0.61329,0.61139,0.61176,3464,0
2023-03-23 22:00:00,0.61176,0.61301,0.61105,0.61208,5247,0
2023-03-23 23:00:00,0.61206,0.61285,0.61178,0.61273,1494,3
2023-03-24 00:00:00,0.61199,0.61292,0.61167,0.61281,270,33
2023-03-24 01:00:00,0.61316,0.61316,0.61223,0.61249,1166,5
2023-03-24 02:00:00,0.61249,0.61264,0.61216,0.61246,1001,5
2023-03-24 03:00:00,0.61245,0.61254,0.61191,0.61212,1836,3
2023-03-24 04:00:00,0.61212,0.61231,0.61061,0.61204,2911,1
2023-03-24 05:00:00,0.61204,0.61261,0.61149,0.61187,1789,1
2023-03-24 06:00:00,0.61187,0.61301,0.6118,0.61236,1327,2
2023-03-24 07:00:00,0.61236,0.61258,0.61194,0.61226,1235,4
2023-03-24 08:00:00,0.61226,0.61265,0.61189,0.61238,1391,4
2023-03-24 09:00:00,0.61237,0.61391,0.61224,0.6139,1876,1
2023-03-24 10:00:00,0.61383,0.61421,0.61319,0.61375,2088,0
2023-03-24 11:00:00,0.61375,0.61377,0.61152,0.61173,4379,0
2023-03-24 12:00:00,0.61173,0.61206,0.60999,0.61008,3931,1
2023-03-24 13:00:00,0.61007,0.61131,0.60967,0.61116,4354,0
2023-03-24 14:00:00,0.61116,0.61129,0.61004,0.61046,3171,0
2023-03-24 15:00:00,0.61045,0.61059,0.60883,0.61012,3982,0
2023-03-24 16:00:00,0.61011,0.61059,0.60898,0.61005,5246,0
2023-03-24 17:00:00,0.61006,0.61095,0.60995,0.61017,4464,0
2023-03-24 18:00:00,0.61015,0.61046,0.60927,0.60983,3818,0
2023-03-24 19:00:00,0.60982,0.61036,0.60916,0.61004,3075,0
2023-03-24 20:00:00,0.61004,0.61091,0.60999,0.61075,2274,0
2023-03-24 21:00:00,0.61075,0.61157,0.61065,0.61129,1753,2
2023-03-24 22:00:00,0.6113,0.6119,0.61098,0.61136,1680,1
2023-03-24 23:00:00,0.61137,0.61145,0.61087,0.611,842,4
2023-03-27 00:00:00,0.61056,0.61105,0.60918,0.60933,2093,155
2023-03-27 01:00:00,0.61024,0.61178,0.6099,0.61134,1870,7
2023-03-27 02:00:00,0.61135,0.6119,0.61111,0.61153,1075,5
2023-03-27 03:00:00,0.61155,0.61171,0.61013,0.6111,1842,2
2023-03-27 04:00:00,0.6111,0.61144,0.61042,0.61108,2261,3
2023-03-27 05:00:00,0.61108,0.61125,0.61073,0.611,1436,2
2023-03-27 06:00:00,0.611,0.61164,0.61072,0.61135,1271,1
2023-03-27 07:00:00,0.61135,0.61154,0.61075,0.6109,1014,3
2023-03-27 08:00:00,0.6109,0.61115,0.61054,0.61111,1385,3
2023-03-27 09:00:00,0.61109,0.61195,0.61084,0.61187,2449,3
2023-03-27 10:00:00,0.61184,0.6119,0.60911,0.60945,3355,1
2023-03-27 11:00:00,0.60945,0.60986,0.60878,0.60909,2646,0
2023-03-27 12:00:00,0.60909,0.60982,0.60878,0.6088,2577,0
2023-03-27 13:00:00,0.60877,0.60927,0.60799,0.60807,2354,0
2023-03-27 14:00:00,0.60807,0.60966,0.60801,0.60934,2257,1
2023-03-27 15:00:00,0.60933,0.60967,0.60868,0.60882,2596,0
2023-03-27 16:00:00,0.60883,0.60989,0.60822,0.60972,3397,0
2023-03-27 17:00:00,0.6097,0.60974,0.60858,0.60859,3431,0
2023-03-27 18:00:00,0.6086,0.60897,0.60836,0.60866,2107,0
2023-03-27 19:00:00,0.60867,0.60924,0.60851,0.60864,1608,0
2023-03-27 20:00:00,0.60866,0.60896,0.60847,0.60894,1721,1
2023-03-27 21:00:00,0.60894,0.60922,0.60836,0.60898,1297,0
2023-03-27 22:00:00,0.60898,0.60922,0.60874,0.60893,1296,1
2023-03-27 23:00:00,0.60895,0.6091,0.60864,0.60882,735,3
2023-03-28 00:00:00,0.60835,0.60894,0.60789,0.60866,207,29
2023-03-28 01:00:00,0.60898,0.60924,0.6087,0.60905,2222,11
2023-03-28 02:00:00,0.60906,0.60956,0.60883,0.60938,880,4
2023-03-28 03:00:00,0.60939,0.61076,0.60889,0.61025,1710,1
2023-03-28 04:00:00,0.61024,0.6111,0.60998,0.61062,1986,2
2023-03-28 05:00:00,0.61063,0.61141,0.61052,0.61118,1543,3
2023-03-28 06:00:00,0.61117,0.61182,0.61117,0.61157,1186,3
2023-03-28 07:00:00,0.61157,0.6118,0.61131,0.61145,911,3
2023-03-28 08:00:00,0.61145,0.61187,0.61138,0.61141,1125,3
2023-03-28 09:00:00,0.61146,0.61357,0.61145,0.61315,2141,1
2023-03-28 10:00:00,0.61314,0.61429,0.61203,0.61237,2575,2
2023-03-28 11:00:00,0.61239,0.61279,0.6115,0.61194,1656,2
2023-03-28 12:00:00,0.61195,0.61269,0.61173,0.61238,1603,0
2023-03-28 13:00:00,0.61237,0.61283,0.61159,0.61248,1419,0
2023-03-28 14:00:00,0.61248,0.61361,0.6123,0.61334,1314,2
2023-03-28 15:00:00,0.61333,0.61354,0.61277,0.61307,2386,0
2023-03-28 16:00:00,0.61307,0.61512,0.61292,0.61504,2849,0
2023-03-28 17:00:00,0.61506,0.61742,0.61478,0.61679,3450,0
