time,open,high,low,close,volume,spread
2023-03-17,88.975,89.505,88.083,88.322,116375,0
2023-03-20,88.365,89.236,87.131,88.211,131940,0
2023-03-21,88.212,88.504,87.709,88.351,91137,0
2023-03-22,88.298,88.993,87.599,87.882,98565,0
2023-03-23,87.846,88.377,86.923,87.478,112714,0
2023-03-24,87.4,87.504,86.056,86.828,108410,0
2023-03-27,86.802,87.54,86.635,87.486,82714,0
2023-03-28,87.455,87.88,87.146,87.815,79388,0
2023-03-29,87.76,88.83,87.692,88.804,78861,0
2023-03-30,88.769,89.082,88.391,89.055,79577,0
2023-03-31,89.041,89.685,88.627,88.792,85326,0
2023-04-03,89.131,90.053,88.557,89.845,92781,0
2023-04-04,89.731,90.166,88.581,88.924,85743,0
2023-04-05,88.889,89.199,87.641,88.21,87887,0
2023-04-06,88.188,88.239,87.593,87.885,67982,0
2023-04-07,87.88,88.288,87.742,88.041,51662,0
2023-04-10,87.872,88.755,87.865,88.725,63194,0
2023-04-11,88.604,89.126,88.528,88.948,73693,0
2023-04-12,88.838,89.362,88.836,89.115,84875,0
2023-04-13,89.035,90.171,88.975,89.929,77996,0
2023-04-14,89.868,90.09,89.509,89.734,80685,0
2023-04-17,89.659,90.157,89.587,90.117,76247,0
2023-04-18,90.014,90.512,89.934,90.219,82874,0
2023-04-19,90.068,90.586,90.064,90.447,76977,0
2023-04-20,90.396,90.778,90.249,90.506,78217,0
2023-04-21,90.405,90.534,89.4,89.748,79505,0
2023-04-24,89.663,90.046,89.424,89.89,82835,0
2023-04-25,89.823,90.024,88.256,88.606,77467,0
2023-04-26,88.598,88.755,87.868,88.253,94704,0
2023-04-27,88.167,88.856,88.127,88.833,86244,0
2023-04-28,88.786,90.214,88.44,90.147,106035,0
2023-05-01,90.01,91.332,89.964,91.162,71166,0
2023-05-02,91.112,92.436,90.853,91.003,92964,0
2023-05-03,90.883,91.064,89.916,89.949,98976,0
2023-05-04,89.794,90.119,89.162,89.876,112318,0
2023-05-05,89.853,91.093,89.786,91.04,77117,0
2023-05-08,90.824,91.873,90.824,91.622,67725,0
2023-05-09,91.536,91.736,91.096,91.442,81918,0
2023-05-10,91.293,91.688,90.503,91.082,87843,0
2023-05-11,90.964,91.154,89.794,90.185,92809,0
2023-05-12,90.066,90.408,89.911,90.129,73866,0
2023-05-15,90.122,91.319,90.103,91.19,71730,0
2023-05-16,91.183,91.257,90.547,90.768,77259,0
2023-05-17,90.723,91.788,90.671,91.696,74687,0
2023-05-18,91.653,91.895,91.077,91.841,82969,0
2023-05-19,91.811,92.354,91.477,91.744,91423,0
2023-05-22,91.619,92.226,91.379,92.187,82307,0
2023-05-23,92.158,92.35,91.466,91.588,88510,0
2023-05-24,91.575,91.671,90.761,91.264,93158,0
2023-05-25,91.127,91.257,90.753,91.087,94121,0
2023-05-26,91.093,91.716,90.805,91.621,85023,0
2023-05-29,91.675,92.007,91.544,91.829,46342,0
2023-05-30,91.742,91.944,90.886,91.107,88010,0
2023-05-31,91.003,91.392,90.26,90.625,87965,0
2023-06-01,90.425,91.348,90.294,91.228,80992,0
2023-06-02,91.07,92.56,91.042,92.464,79036,0
2023-06-05,92.362,92.658,92.134,92.359,70489,0
2023-06-06,92.354,93.259,92.135,93.162,76081,0
2023-06-07,93.118,93.524,92.776,93.245,81612,0
2023-06-08,93.126,93.445,92.974,93.273,74558,0
2023-06-09,93.276,94.096,93.115,93.952,69350,0
2023-06-12,93.796,94.414,93.74,94.239,64676,0
2023-06-13,94.225,95.052,93.972,94.881,84513,0
2023-06-14,94.864,95.283,94.594,95.189,79668,0
2023-06-15,95.115,96.726,95.055,96.551,90657,0
2023-06-16,96.538,97.571,96.239,97.517,88041,0
2023-06-19,97.442,97.67,96.726,97.261,62439,0
2023-06-20,97.255,97.414,95.569,95.998,94077,0
2023-06-21,95.933,96.472,95.78,96.436,93228,0
2023-06-22,96.414,96.766,95.781,96.689,92454,0
2023-06-23,96.683,96.844,95.254,95.896,99610,0
2023-06-26,95.8,96.088,95.374,95.791,87021,0
2023-06-27,95.734,96.497,95.659,96.334,84110,0
2023-06-28,96.323,96.342,95.155,95.363,88084,0
2023-06-29,95.282,96.01,95.165,95.798,90769,0
2023-06-30,95.69,96.293,95.598,96.096,89503,0
2023-07-03,96.071,96.615,95.995,96.529,72862,0
2023-07-04,96.507,96.828,96.072,96.68,52463,0
2023-07-05,96.546,96.83,96.059,96.261,69000,0
2023-07-06,96.133,96.311,95.3,95.448,92864,0
2023-07-07,95.287,95.59,94.743,95.085,86373,0
2023-07-10,94.918,95.476,94.112,94.336,84139,0
2023-07-11,94.308,94.612,93.471,93.822,86840,0
2023-07-12,93.826,94.213,93.273,94.024,100648,0
2023-07-13,93.883,95.31,93.854,95.096,89322,0
2023-07-14,95.063,95.384,94.548,94.915,89872,0
2023-07-17,94.686,94.919,94.018,94.549,81229,0
2023-07-18,94.532,94.781,93.774,94.573,92981,0
2023-07-19,94.556,94.83,94.202,94.569,94349,0
2023-07-20,94.512,95.425,94.443,94.954,94259,0
2023-07-21,94.937,95.784,94.648,95.47,89461,0
2023-07-24,95.31,95.481,94.866,95.358,87692,0
2023-07-25,95.325,95.856,95.175,95.701,89960,0
2023-07-26,95.639,95.73,94.422,94.764,97145,0
2023-07-27,94.692,95.416,92.96,93.512,113668,0
2023-07-28,93.49,94.216,91.799,93.82,120272,0
2023-07-31,93.823,95.83,93.657,95.562,88623,0
2023-08-01,95.533,95.803,94.557,94.794,87114,0
2023-08-02,94.755,94.9,93.594,93.706,97760,0
2023-08-03,93.704,94.085,92.965,93.35,105531,0
2023-08-04,93.349,93.929,93.054,93.082,92280,0
2023-08-07,93.02,93.686,93.02,93.662,74507,0
2023-08-08,93.501,93.978,92.899,93.83,88936,0
2023-08-09,93.815,94.111,93.525,93.829,77854,0
2023-08-10,93.803,94.936,93.702,94.308,87690,0
2023-08-11,94.288,94.589,94.018,94.143,81333,0
2023-08-14,94.015,94.437,93.574,94.419,81026,0
2023-08-15,94.384,94.862,93.927,93.972,95092,0
2023-08-16,93.951,94.288,93.635,94.012,89191,0
2023-08-17,93.997,94.004,93.213,93.394,94033,0
2023-08-18,93.376,93.556,92.79,93.086,89063,0
2023-08-21,93.034,93.909,92.832,93.789,78125,0
2023-08-22,93.761,94.062,93.505,93.695,78961,0
2023-08-23,93.679,93.956,93.225,93.872,78596,0
2023-08-24,93.829,94.175,93.51,93.585,75673,0
2023-08-25,93.572,93.977,93.435,93.781,83764,0
2023-08-28,93.764,94.333,93.752,94.215,64572,0
2023-08-29,94.199,94.597,94.045,94.536,79864,0
2023-08-30,94.531,95.061,94.17,94.699,78792,0
2023-08-31,94.674,94.94,94.032,94.376,80982,0
2023-09-01,94.361,94.421,93.855,94.239,79565,0
2023-09-04,94.087,94.717,94.087,94.637,45854,0
2023-09-05,94.631,94.706,93.59,94.219,80755,0
2023-09-06,94.216,94.332,93.856,94.241,73881,0
2023-09-07,94.06,94.317,93.706,93.905,75067,0
2023-09-08,93.855,94.457,93.588,94.254,69155,0
2023-09-11,93.851,94.458,93.577,94.254,84745,0
2023-09-12,94.183,94.56,94.055,94.518,73385,0
2023-09-13,94.507,94.828,94.183,94.689,81796,0
2023-09-14,94.637,95.041,94.503,94.971,79863,0
2023-09-15,94.972,95.546,94.782,95.074,73643,0
2023-09-18,95.053,95.253,94.789,95.006,70252,0
2023-09-19,94.951,95.636,94.873,95.422,63897,0
2023-09-20,95.395,96.066,95.301,95.65,76253,0
2023-09-21,95.595,95.676,94.536,94.666,81989,0
2023-09-22,94.612,95.827,94.541,95.552,74453,0
2023-09-25,95.423,95.713,95.179,95.627,65546,0
2023-09-26,95.593,95.768,95.222,95.351,80120,0
2023-09-27,95.315,95.461,94.721,95.064,74831,0
2023-09-28,95.044,95.971,94.788,95.942,81681,0
2023-09-29,95.905,96.922,95.67,96.102,82408,0
2023-10-02,96.074,96.414,95.28,95.359,69673,0
2023-10-03,95.341,95.402,93.022,93.911,89282,0
2023-10-04,93.86,94.399,93.79,94.31,89495,0
2023-10-05,94.285,94.696,94.086,94.598,79926,0
2023-10-06,94.573,95.556,94.334,95.265,82317,0
2023-10-09,94.693,95.263,94.619,95.211,70903,0
2023-10-10,95.193,95.657,95.126,95.642,82109,0
2023-10-11,95.607,95.73,95.363,95.672,73419,0
2023-10-12,95.655,95.825,94.455,94.589,78150,0
2023-10-13,94.568,94.883,94.05,94.163,75640,0
2023-10-16,94.081,94.906,94.071,94.823,67208,0
2023-10-17,94.801,95.505,94.605,95.357,75046,0
2023-10-18,95.326,95.663,94.838,94.993,77983,0
2023-10-19,94.991,95.167,94.315,94.788,89469,0
2023-10-20,94.772,94.801,94.426,94.612,72888,0
2023-10-23,94.593,95.02,94.32,94.834,67196,0
2023-10-24,94.85,95.373,94.721,95.272,77146,0
2023-10-25,95.215,95.897,94.573,94.77,77940,0
2023-10-26,94.727,95.201,94.245,95.076,83485,0
2023-10-27,95.06,95.368,94.674,94.745,76303,0
2023-10-30,94.671,95.527,94.647,95.015,68161,0
2023-10-31,94.946,96.162,94.845,96.109,80540,0
2023-11-01,95.981,96.52,95.611,96.506,80197,0
2023-11-02,96.509,96.929,96.379,96.792,73306,0
2023-11-03,96.74,97.323,96.575,97.278,72225,0
2023-11-06,97.156,97.508,97.115,97.38,64751,0
2023-11-07,97.317,97.594,96.409,96.821,69594,0
2023-11-08,96.741,97.096,96.58,96.658,61367,0
2023-11-09,96.603,97.005,96.306,96.354,72881,0
2023-11-10,96.288,96.419,96.034,96.368,64094,0
2023-11-13,96.134,96.858,96.132,96.743,53592,0
2023-11-14,96.746,97.938,96.475,97.857,64501,0
2023-11-15,97.485,98.587,97.485,98.541,71971,0
2023-11-16,98.441,98.57,97.242,97.541,72973,0
