time,open,high,low,close,volume,spread
2023-03-17,1.07362,1.0762,1.06832,1.06864,83282,0
2023-03-20,1.06669,1.07578,1.06669,1.0755,93542,0
2023-03-21,1.07529,1.07966,1.07282,1.07683,72046,0
2023-03-22,1.0766,1.08046,1.07235,1.0743800000000001,70341,0
2023-03-23,1.07437,1.07574,1.06762,1.06973,80045,0
2023-03-24,1.06936,1.07301,1.06812,1.07101,77207,0
2023-03-27,1.07077,1.07459,1.07016,1.07323,62620,0
2023-03-28,1.07322,1.07457,1.07087,1.07287,60932,0
2023-03-29,1.07291,1.07481,1.06858,1.07385,58360,0
2023-03-30,1.07338,1.07631,1.07083,1.07166,56385,0
2023-03-31,1.07163,1.07179,1.06718,1.06855,59916,0
2023-04-03,1.06793,1.07918,1.06699,1.07764,72093,0
2023-04-04,1.07589,1.07793,1.0688,1.06993,64321,0
2023-04-05,1.06984,1.07158,1.05881,1.06373,69906,0
2023-04-06,1.06323,1.06858,1.06186,1.06837,51453,0
2023-04-07,1.06833,1.0703,1.06281,1.06309,47737,0
2023-04-10,1.06548,1.06918,1.06415,1.0677699999999999,46266,0
2023-04-11,1.06566,1.07562,1.06505,1.0743800000000001,53801,0
2023-04-12,1.07396,1.07798,1.07329,1.07702,56714,0
2023-04-13,1.07658,1.08125,1.0745,1.07731,55245,0
2023-04-14,1.07638,1.08128,1.07356,1.08046,58530,0
2023-04-17,1.07947,1.08504,1.07856,1.08411,58917,0
2023-04-18,1.0834,1.08706,1.08212,1.08366,58592,0
2023-04-19,1.08222,1.08525,1.08097,1.0830899999999999,56841,0
2023-04-20,1.08237,1.09237,1.08124,1.09159,59376,0
2023-04-21,1.091,1.09306,1.08877,1.08997,57860,0
2023-04-24,1.08858,1.09062,1.08538,1.08581,67458,0
2023-04-25,1.08496,1.08579,1.07791,1.07956,57088,0
2023-04-26,1.0796000000000001,1.0799,1.07634,1.07956,68048,0
2023-04-27,1.07824,1.08018,1.07518,1.07829,66875,0
2023-04-28,1.07798,1.0792,1.06828,1.07014,73888,0
2023-05-01,1.06938,1.07657,1.06829,1.07516,55935,0
