time,open,high,low,close,volume,spread
2023-03-17,0.66543,0.67248,0.66406,0.66999,72599,0
2023-03-20,0.67089,0.67301,0.66658,0.67178,78833,0
2023-03-21,0.67172,0.67264,0.66497,0.66703,56552,0
2023-03-22,0.66678,0.6759,0.66612,0.66829,60975,0
2023-03-23,0.66811,0.67554,0.66698,0.66856,67129,0
2023-03-24,0.66833,0.66943,0.66252,0.66428,63673,0
2023-03-27,0.66509,0.66658,0.66339,0.66501,53166,0
2023-03-28,0.6648,0.67103,0.66429,0.67085,46829,0
2023-03-29,0.67089,0.67132,0.66614,0.66837,48909,0
2023-03-30,0.66831,0.67184,0.66614,0.67119,47601,0
2023-03-31,0.6712,0.67379,0.66704,0.66851,47621,0
2023-04-03,0.6683,0.679,0.6651,0.67857,59841,0
2023-04-04,0.67772,0.67933,0.67207,0.67512,55351,0
2023-04-05,0.67493,0.67798,0.66769,0.67209,53556,0
2023-04-06,0.67193,0.67255,0.66532,0.66715,42339,0
2023-04-07,0.66705,0.66912,0.6641,0.66637,24836,0
2023-04-10,0.66499,0.66802,0.66194,0.66416,40615,0
2023-04-11,0.66363,0.66797,0.66307,0.66534,44546,0
2023-04-12,0.6648,0.67232,0.66479,0.66933,50074,0
2023-04-13,0.66922,0.67968,0.66854,0.67833,49322,0
2023-04-14,0.67742,0.68055,0.66951,0.67099,49789,0
2023-04-17,0.67019,0.67193,0.66811,0.67015,43866,0
2023-04-18,0.66988,0.67475,0.66911,0.67279,42865,0
2023-04-19,0.67243,0.67415,0.66901,0.67143,43257,0
2023-04-20,0.67124,0.67715,0.6697,0.67421,45130,0
2023-04-21,0.67398,0.67456,0.66778,0.66928,41108,0
2023-04-24,0.66939,0.66977,0.66655,0.66966,51149,0
2023-04-25,0.66919,0.67055,0.66144,0.66259,39896,0
2023-04-26,0.66256,0.66393,0.65916,0.66028,52290,0
2023-04-27,0.65966,0.66354,0.65954,0.663,50247,0
2023-04-28,0.66287,0.66424,0.65734,0.66145,54336,0
2023-05-01,0.66093,0.66683,0.66057,0.66304,42156,0
2023-05-02,0.66284,0.67172,0.66205,0.66628,53759,0
2023-05-03,0.66613,0.67033,0.66493,0.66733,52600,0
2023-05-04,0.667,0.67064,0.66404,0.66933,63354,0
2023-05-05,0.66926,0.6757,0.66901,0.67523,45762,0
2023-05-08,0.67416,0.68034,0.67392,0.6781,38244,0
2023-05-09,0.67777,0.67868,0.67466,0.67622,39467,0
2023-05-10,0.67585,0.68181,0.67442,0.67792,46112,0
2023-05-11,0.67727,0.67962,0.6689,0.67021,51660,0
2023-05-12,0.67014,0.67063,0.66362,0.66407,40919,0
2023-05-15,0.66446,0.67088,0.66416,0.67001,38494,0
2023-05-16,0.66992,0.67097,0.66514,0.66553,42260,0
2023-05-17,0.66535,0.66732,0.66291,0.66591,41180,0
2023-05-18,0.6658,0.66678,0.6605,0.66215,44799,0
2023-05-19,0.6619,0.66752,0.66133,0.66499,51486,0
2023-05-22,0.66411,0.66677,0.66275,0.66516,44349,0
2023-05-23,0.66493,0.66619,0.66073,0.66094,45397,0
2023-05-24,0.66075,0.66153,0.65297,0.65438,53268,0
2023-05-25,0.65414,0.65468,0.64985,0.65045,50774,0
2023-05-26,0.65046,0.65444,0.64905,0.65169,47455,0
