time,open,high,low,close,volume,spread
2023-03-16,0.67758,0.679,0.67217,0.67725,83338,0
2023-03-17,0.67706,0.67766,0.67356,0.67443,62473,0
2023-03-20,0.6733,0.68029,0.67307,0.68008,59414,0
2023-03-21,0.67954,0.68078,0.67083,0.67258,45699,0
2023-03-22,0.67247,0.6744,0.668,0.66805,49554,0
2023-03-23,0.66808,0.67136,0.66666,0.66825,56511,0
2023-03-24,0.66803,0.66981,0.66513,0.6692,58106,0
2023-03-27,0.66807,0.67149,0.66667,0.6702,47298,0
2023-03-28,0.66998,0.67661,0.66964,0.67625,38771,0
2023-03-29,0.67583,0.6785,0.6744,0.6773,38315,0
2023-03-30,0.67743,0.67773,0.674,0.6754,38469,0
2023-03-31,0.67448,0.67755,0.67346,0.67695,43558,0
2023-04-03,0.67824,0.68107,0.6764,0.67925,46640,0
2023-04-04,0.67873,0.6805,0.67248,0.674,46202,0
2023-04-05,0.67353,0.67453,0.67052,0.67375,39670,0
2023-04-06,0.67399,0.67399,0.67034,0.67045,34375,0
2023-04-07,0.67003,0.67148,0.66842,0.66935,21922,0
2023-04-10,0.66732,0.67368,0.66732,0.67312,30222,1
2023-04-11,0.67294,0.67342,0.66932,0.67085,33662,0
2023-04-12,0.67058,0.67106,0.66494,0.66677,38526,0
2023-04-13,0.66624,0.66834,0.66222,0.6668,39742,0
2023-04-14,0.66673,0.66977,0.66574,0.66915,40807,0
2023-04-17,0.6679,0.67138,0.66778,0.67095,34986,0
2023-04-18,0.67023,0.67173,0.66926,0.66935,33274,0
2023-04-19,0.668,0.67034,0.66654,0.6668,36804,0
2023-04-20,0.66653,0.66708,0.66205,0.6621,35886,0
2023-04-21,0.66173,0.66254,0.65815,0.65888,35884,0
2023-04-24,0.65888,0.65935,0.65532,0.65545,48487,0
2023-04-25,0.65541,0.65584,0.65255,0.65455,33358,0
2023-04-26,0.6542,0.65516,0.64993,0.65365,41648,0
2023-04-27,0.65333,0.6595,0.65238,0.65801,38743,0
2023-04-28,0.65761,0.6606,0.65441,0.6601,46004,0
2023-05-01,0.65785,0.6623,0.65722,0.66125,33731,0
2023-05-02,0.66073,0.66279,0.65495,0.65555,41303,0
2023-05-03,0.65524,0.65547,0.64933,0.6494,45483,0
2023-05-04,0.64898,0.65484,0.64768,0.6544,53838,0
2023-05-05,0.65338,0.66599,0.65195,0.66577,41474,0
2023-05-08,0.66371,0.66768,0.66354,0.66512,29845,0
2023-05-09,0.66463,0.66751,0.66303,0.6653,30844,0
2023-05-10,0.66524,0.66707,0.66389,0.6653,38079,0
2023-05-11,0.66533,0.66751,0.66255,0.66295,39500,0
2023-05-12,0.66266,0.6643,0.65978,0.66265,32625,0
2023-05-15,0.66074,0.66507,0.66068,0.66507,30767,0
2023-05-16,0.66503,0.66754,0.66271,0.66495,33512,0
2023-05-17,0.66473,0.67009,0.66363,0.66765,36263,0
2023-05-18,0.6675,0.67192,0.66674,0.67025,33411,0
2023-05-19,0.67016,0.67094,0.66399,0.66635,37025,0
2023-05-22,0.66447,0.66601,0.6622,0.66475,34812,0
2023-05-23,0.66473,0.6686,0.66445,0.66751,36173,0
2023-05-24,0.66698,0.66785,0.66484,0.66575,39292,0
2023-05-25,0.66503,0.66681,0.66339,0.6638,39348,0
2023-05-26,0.66342,0.66559,0.66191,0.66455,37048,0
2023-05-29,0.66423,0.66593,0.6631,0.66545,17670,0
2023-05-30,0.66498,0.66793,0.66332,0.66605,38374,0
2023-05-31,0.66573,0.67304,0.66517,0.6708,40937,0
2023-06-01,0.67071,0.67538,0.66898,0.67335,39421,0
2023-06-02,0.67301,0.67724,0.67291,0.67662,37569,0
2023-06-05,0.67539,0.67885,0.6731,0.67405,33080,0
2023-06-06,0.67384,0.67817,0.67262,0.6772,32238,0
2023-06-07,0.67678,0.68098,0.6754,0.68065,34603,0
2023-06-08,0.68021,0.68222,0.67249,0.67301,36169,0
2023-06-09,0.67293,0.6777,0.67191,0.67688,32029,0
2023-06-12,0.67496,0.68087,0.67496,0.6799,30297,0
2023-06-13,0.67986,0.68167,0.67653,0.67975,37997,0
2023-06-14,0.67929,0.68074,0.67412,0.6763,37346,0
2023-06-15,0.67597,0.67864,0.67323,0.67452,33654,0
2023-06-16,0.67399,0.6782,0.67301,0.67715,38294,0
2023-06-19,0.67608,0.6799,0.67548,0.67805,27646,0
2023-06-20,0.67793,0.6796,0.67703,0.6783,39079,0
2023-06-21,0.67788,0.6808,0.6775,0.67838,42937,0
2023-06-22,0.67803,0.68203,0.67701,0.6804,45195,0
2023-06-23,0.68017,0.68316,0.67726,0.6804,45780,0
2023-06-26,0.67903,0.68152,0.67717,0.68085,36314,0
2023-06-27,0.68056,0.68275,0.67734,0.67745,42433,0
2023-06-28,0.67721,0.67815,0.67521,0.67643,42287,0
2023-06-29,0.67648,0.67933,0.67448,0.67865,38072,0
2023-06-30,0.67838,0.68033,0.67515,0.67548,40853,0
2023-07-03,0.67405,0.67898,0.674,0.6763,31727,0
2023-07-04,0.67578,0.6788,0.67552,0.67846,22698,0
2023-07-05,0.67617,0.67861,0.67559,0.6766,34904,0
2023-07-06,0.67636,0.67663,0.66949,0.6697,44488,0
2023-07-07,0.66944,0.67139,0.66868,0.6697,41013,0
2023-07-10,0.66888,0.67094,0.66653,0.6667,35268,0
2023-07-11,0.66647,0.66743,0.6637,0.6647,32985,0
2023-07-12,0.66445,0.66525,0.6571,0.65785,45418,0
2023-07-13,0.65758,0.65766,0.65366,0.65504,42367,0
2023-07-14,0.65494,0.65699,0.65167,0.65205,38740,0
2023-07-17,0.65006,0.6539,0.6489,0.6517,30065,0
2023-07-18,0.65148,0.65203,0.64806,0.6512,42027,0
2023-07-19,0.65109,0.65402,0.65013,0.65205,40559,0
2023-07-20,0.65194,0.65923,0.65128,0.6579,42760,0
2023-07-21,0.65728,0.65871,0.65425,0.65485,37702,0
2023-07-24,0.65328,0.66052,0.65302,0.66036,41290,0
2023-07-25,0.66038,0.66089,0.65539,0.65575,34463,0
2023-07-26,0.65553,0.65635,0.65116,0.65175,44608,0
2023-07-27,0.65151,0.65879,0.64863,0.65729,51720,0
2023-07-28,0.65657,0.65967,0.65466,0.657,55118,0
2023-07-31,0.65465,0.66183,0.6546,0.66095,35273,0
2023-08-01,0.66093,0.66128,0.65834,0.6588,35870,0
2023-08-02,0.65893,0.66097,0.65661,0.6573,45596,0
2023-08-03,0.65723,0.65848,0.65384,0.65455,47605,0
2023-08-04,0.65433,0.65695,0.6514,0.65203,41816,0
2023-08-07,0.65026,0.65568,0.65024,0.65287,31874,0
2023-08-08,0.65226,0.65348,0.64952,0.6526,38573,0
2023-08-09,0.65219,0.65432,0.65101,0.6535,35535,0
2023-08-10,0.65344,0.65402,0.64978,0.65204,44218,0
2023-08-11,0.65177,0.65308,0.6494,0.6517,41122,0
2023-08-14,0.65066,0.6551,0.65035,0.65236,42052,0
2023-08-15,0.65248,0.65288,0.64855,0.65075,45798,0
