time,open,high,low,close,volume,spread
2023-03-16,96.85,97.549,95.729,97.472,140804,0
2023-03-17,97.426,97.468,95.814,95.976,115266,0
2023-03-20,96.053,96.877,95.03,96.098,129910,0
2023-03-21,96.1,96.927,95.79,96.592,82596,0
2023-03-22,96.589,97.12,95.457,95.776,91065,0
2023-03-23,95.705,96.328,94.896,95.41,109241,0
2023-03-24,95.352,95.456,94.068,95.095,112606,0
2023-03-27,94.892,96.492,94.891,96.31,80056,0
2023-03-28,96.292,96.311,95.498,96.265,76560,0
2023-03-29,96.17,98.007,96.143,97.997,72972,0
2023-03-30,97.959,98.212,97.573,98.12,70056,0
2023-03-31,98.086,98.745,97.937,98.263,79067,0
2023-04-03,98.779,99.056,98.25,98.547,83985,0
2023-04-04,98.518,99.183,97.692,97.974,89737,0
2023-04-05,97.936,98.095,97.096,97.546,90785,0
2023-04-06,97.529,97.872,97.164,97.66,76861,0
2023-04-07,97.637,97.936,97.356,97.74,40224,0
2023-04-10,97.649,98.942,97.546,98.889,68386,0
2023-04-11,98.863,99.343,98.473,99.291,70842,0
2023-04-12,99.218,99.545,98.682,99.047,81671,0
2023-04-13,99.009,99.567,98.723,99.389,75692,0
2023-04-14,99.374,100.16,99.206,100.103,75529,0
2023-04-17,99.946,100.483,99.943,100.397,70975,0
2023-04-18,100.352,100.597,100.03,100.159,69091,0
2023-04-19,100.115,100.564,99.948,100.089,68848,0
2023-04-20,100.062,100.247,99.531,99.609,69198,0
2023-04-21,99.596,99.65,98.685,99.046,69179,0
2023-04-24,98.904,99.526,98.82,99.138,78910,0
2023-04-25,99.119,99.323,97.754,98.139,76784,0
2023-04-26,98.104,98.359,97.558,98.019,90675,0
2023-04-27,98.017,98.619,97.789,98.585,73750,0
2023-04-28,98.523,100.679,98.023,100.603,104249,0
2023-05-01,100.53,101.597,100.448,101.5,67144,0
2023-05-02,101.514,101.805,100.003,100.231,80803,0
2023-05-03,100.21,100.258,98.968,98.998,89669,0
2023-05-04,98.934,99.237,98.389,99.189,112807,0
2023-05-05,99.174,100.824,99.079,100.783,74531,0
2023-05-08,100.583,101.425,100.581,101.043,58069,0
2023-05-09,100.938,101.19,100.677,101.036,68164,0
2023-05-10,100.935,101.282,100.015,100.473,79687,0
