time,open,high,low,close,volume,spread
2023-03-15 20:00:00,96.143,96.651,96.115,96.615,7684,0
2023-03-15 21:00:00,96.615,97.27,96.507,97.087,8394,0
2023-03-15 22:00:00,97.087,97.149,96.696,96.796,8225,0
2023-03-15 23:00:00,96.8,96.958,96.761,96.915,2801,2
2023-03-16 00:00:00,96.85,96.95,96.792,96.823,252,50
2023-03-16 01:00:00,96.798,96.903,96.731,96.855,2224,9
2023-03-16 02:00:00,96.855,96.895,96.453,96.528,3058,6
2023-03-16 03:00:00,96.529,97.048,96.339,97.004,6602,0
2023-03-16 04:00:00,97.004,97.123,96.736,96.755,6050,3
2023-03-16 05:00:00,96.755,96.784,96.53,96.563,5491,1
2023-03-16 06:00:00,96.563,96.643,96.487,96.526,4344,2
2023-03-16 07:00:00,96.526,96.555,96.384,96.546,3971,0
2023-03-16 08:00:00,96.549,96.767,96.49,96.504,4252,1
2023-03-16 09:00:00,96.507,96.694,96.478,96.584,4240,1
2023-03-16 10:00:00,96.582,96.926,96.547,96.91,6719,2
2023-03-16 11:00:00,96.91,97.024,96.489,96.712,9216,0
2023-03-16 12:00:00,96.708,96.715,96.505,96.631,6603,2
2023-03-16 13:00:00,96.632,96.719,96.518,96.619,4851,1
2023-03-16 14:00:00,96.62,96.662,96.4,96.559,5193,0
2023-03-16 15:00:00,96.563,96.622,96.113,96.281,8800,0
2023-03-16 16:00:00,96.278,96.416,95.729,96.219,10914,0
2023-03-16 17:00:00,96.216,96.664,95.785,96.47,10033,0
2023-03-16 18:00:00,96.474,96.789,96.321,96.669,10046,0
2023-03-16 19:00:00,96.669,97.179,96.521,97.156,7599,0
2023-03-16 20:00:00,97.155,97.471,97.147,97.378,7406,0
2023-03-16 21:00:00,97.377,97.391,97.137,97.258,5634,0
2023-03-16 22:00:00,97.259,97.315,97.197,97.289,4897,2
2023-03-16 23:00:00,97.29,97.549,97.271,97.472,2409,0
2023-03-17 00:00:00,97.426,97.468,97.121,97.327,299,36
2023-03-17 01:00:00,97.31,97.389,97.247,97.271,1679,2
2023-03-17 02:00:00,97.27,97.291,97.191,97.201,2154,4
2023-03-17 03:00:00,97.2,97.326,97.13,97.145,3715,0
2023-03-17 04:00:00,97.145,97.298,97.09,97.276,3629,1
2023-03-17 05:00:00,97.276,97.307,97.201,97.251,3005,2
2023-03-17 06:00:00,97.25,97.316,97.195,97.287,2919,0
2023-03-17 07:00:00,97.287,97.398,97.224,97.224,2524,2
2023-03-17 08:00:00,97.226,97.278,97.047,97.138,3008,2
2023-03-17 09:00:00,97.138,97.166,96.963,97.009,3567,0
2023-03-17 10:00:00,97.009,97.332,96.969,97.199,5622,1
2023-03-17 11:00:00,97.201,97.421,97.169,97.264,6962,0
2023-03-17 12:00:00,97.265,97.304,97.035,97.172,4626,1
2023-03-17 13:00:00,97.172,97.24,97.071,97.088,4262,0
2023-03-17 14:00:00,97.088,97.146,96.529,96.747,6292,0
2023-03-17 15:00:00,96.746,96.822,96.163,96.374,7979,0
2023-03-17 16:00:00,96.374,96.514,96.156,96.305,8744,0
2023-03-17 17:00:00,96.304,96.511,95.822,96.049,9681,0
2023-03-17 18:00:00,96.049,96.19,95.814,95.991,7890,0
2023-03-17 19:00:00,95.989,96.393,95.987,96.239,6163,1
2023-03-17 20:00:00,96.238,96.38,96.194,96.28,5620,1
2023-03-17 21:00:00,96.292,96.323,95.851,95.989,6420,0
2023-03-17 22:00:00,95.991,96.108,95.924,96.103,5649,0
2023-03-17 23:00:00,96.104,96.122,95.917,95.976,2857,2
2023-03-20 00:00:00,96.053,96.074,95.896,96.063,194,56
2023-03-20 01:00:00,96.025,96.393,95.981,96.303,1649,10
2023-03-20 02:00:00,96.302,96.532,96.206,96.452,3388,4
2023-03-20 03:00:00,96.452,96.877,96.435,96.859,4583,2
2023-03-20 04:00:00,96.859,96.869,96.398,96.48,5364,3
2023-03-20 05:00:00,96.477,96.569,96.288,96.416,3635,5
2023-03-20 06:00:00,96.415,96.447,96.119,96.229,4273,2
2023-03-20 07:00:00,96.229,96.292,95.998,96.064,3797,3
2023-03-20 08:00:00,96.063,96.213,96.007,96.11,3314,1
2023-03-20 09:00:00,96.108,96.11,95.362,95.411,7386,1
2023-03-20 10:00:00,95.409,95.585,95.246,95.484,8971,2
2023-03-20 11:00:00,95.487,95.715,95.03,95.422,9572,1
2023-03-20 12:00:00,95.426,95.673,95.235,95.643,8759,0
2023-03-20 13:00:00,95.64,95.924,95.534,95.825,7425,1
2023-03-20 14:00:00,95.825,95.839,95.481,95.612,6547,2
2023-03-20 15:00:00,95.605,96.213,95.545,96.117,7830,0
2023-03-20 16:00:00,96.11,96.347,95.841,96.306,8681,1
2023-03-20 17:00:00,96.312,96.461,96.201,96.446,8374,0
2023-03-20 18:00:00,96.444,96.527,96.131,96.151,6595,0
2023-03-20 19:00:00,96.151,96.279,95.944,96.248,6275,1
2023-03-20 20:00:00,96.247,96.424,96.216,96.255,4005,0
2023-03-20 21:00:00,96.254,96.292,96.085,96.115,3839,1
2023-03-20 22:00:00,96.11,96.278,96.107,96.202,3447,1
2023-03-20 23:00:00,96.204,96.235,96.091,96.098,2007,0
2023-03-21 00:00:00,96.1,96.101,95.983,96.062,245,30
2023-03-21 01:00:00,96.06,96.189,96.038,96.159,1216,1
2023-03-21 02:00:00,96.162,96.192,96.019,96.099,1494,1
2023-03-21 03:00:00,96.099,96.291,95.869,95.904,4265,2
2023-03-21 04:00:00,95.899,95.957,95.79,95.947,3712,3
2023-03-21 05:00:00,95.947,96.026,95.875,95.933,1838,1
2023-03-21 06:00:00,95.933,95.982,95.862,95.903,1803,1
2023-03-21 07:00:00,95.903,95.995,95.852,95.885,2208,3
2023-03-21 08:00:00,95.885,95.955,95.828,95.89,1755,0
2023-03-21 09:00:00,95.89,96.234,95.889,96.225,3053,3
2023-03-21 10:00:00,96.226,96.398,96.149,96.377,5435,1
2023-03-21 11:00:00,96.373,96.725,96.328,96.644,6302,0
2023-03-21 12:00:00,96.644,96.752,96.599,96.712,4561,0
2023-03-21 13:00:00,96.71,96.927,96.67,96.749,4272,1
2023-03-21 14:00:00,96.749,96.872,96.709,96.842,4141,2
2023-03-21 15:00:00,96.837,96.917,96.566,96.736,4942,1
2023-03-21 16:00:00,96.741,96.905,96.708,96.743,5610,1
2023-03-21 17:00:00,96.746,96.789,96.075,96.116,7111,0
