time,open,high,low,close,volume,spread
2023-03-16,142.876,144.077,141.907,143.921,121333,1
2023-03-17,143.854,144.16,142.029,142.164,97132,1
2023-03-20,142.233,143.168,140.245,141.305,101738,1
2023-03-21,141.314,143.69,141.065,143.605,80323,1
2023-03-22,143.562,144.196,142.737,143.338,83155,1
2023-03-23,143.25,143.694,142.226,142.752,99041,1
2023-03-24,142.61,142.813,140.836,142.087,96831,1
2023-03-27,142.033,143.737,141.801,143.684,78284,1
2023-03-28,143.607,143.686,142.014,142.342,67068,1
2023-03-29,142.144,144.69,142.1,144.679,68579,1
2023-03-30,144.586,145.556,144.092,145.262,68883,1
2023-03-31,145.28,146.086,145.012,145.098,76356,1
2023-04-03,145.34,145.657,144.707,145.064,77713,1
2023-04-04,145.042,146.006,144.827,145.342,72145,1
2023-04-05,145.296,145.507,144.45,144.748,69479,1
2023-04-06,144.63,145.749,144.26,145.601,55562,1
2023-04-07,145.554,146.18,145.262,145.858,35427,1
2023-04-10,145.978,146.93,145.722,146.885,56180,1
2023-04-11,146.835,148.111,146.672,147.997,56749,1
2023-04-12,147.867,148.979,147.705,148.536,65866,1
2023-04-13,148.542,149.826,148.387,149.019,62849,1
2023-04-14,148.983,149.691,148.804,149.588,63883,1
2023-04-17,149.376,150.183,149.376,149.622,55921,1
2023-04-18,149.546,149.937,149.196,149.632,54400,1
2023-04-19,149.524,150.223,149.462,150.089,58833,1
2023-04-20,150.014,150.579,149.804,150.434,63683,1
2023-04-21,150.392,150.513,149.523,150.289,61195,1
2023-04-24,149.909,151.485,149.909,151.243,69707,0
2023-04-25,151.111,151.518,149.546,149.915,61482,1
2023-04-26,150.051,150.515,149.615,149.955,74334,1
2023-04-27,149.928,150.233,149.16,149.774,62887,1
2023-04-28,149.647,153.161,149.09,152.304,88208,1
2023-05-01,152.308,153.59,152.218,153.571,53851,1
2023-05-02,153.631,153.962,152.616,152.954,72813,1
2023-05-03,152.924,153.07,152.281,152.49,76669,1
2023-05-04,152.322,152.536,150.863,151.572,96202,1
2023-05-05,151.594,151.661,150.193,151.356,62075,1
2023-05-08,151.304,152.247,151.241,151.896,53729,1
2023-05-09,151.761,151.935,151.014,151.858,56744,1
2023-05-10,151.739,152.349,150.605,150.989,65449,1
2023-05-11,150.905,151.077,149.814,150.464,68617,1
2023-05-12,150.272,151.538,150.133,151.037,54819,1
2023-05-15,151.018,152.195,150.885,151.95,54023,1
2023-05-16,151.949,152.529,151.626,152.12,52903,1
2023-05-17,151.974,153.211,151.918,153.186,57374,1
2023-05-18,153.138,153.417,152.77,153.234,63941,1
2023-05-19,153.234,153.766,152.862,153.361,67292,1
2023-05-22,153.383,154.467,153.152,154.355,60955,1
2023-05-23,154.308,154.496,153.492,153.719,65354,1
2023-05-24,153.704,154.1,153.225,154.065,64108,1
2023-05-25,154.055,154.709,153.5,154.611,69309,1
2023-05-26,154.597,155.451,154.268,155.268,62233,1
2023-05-29,155.092,155.55,155.017,155.255,33437,1
2023-05-30,155.136,155.534,154.143,154.304,66671,1
