time,open,high,low,close,volume,spread
2023-03-16,0.98667,0.98827,0.97991,0.98623,90003,0
2023-03-17,0.98624,0.99123,0.98392,0.98784,73787,0
2023-03-20,0.98799,0.99656,0.9858,0.9965,70383,0
2023-03-21,0.99449,0.99779,0.9926,0.99332,62479,0
2023-03-22,0.99265,0.99838,0.99253,0.9957,61000,0
2023-03-23,0.99599,0.99981,0.99197,0.99284,62762,0
2023-03-24,0.99125,0.99396,0.98488,0.98968,71139,0
2023-03-27,0.98952,0.99089,0.98591,0.98859,52737,0
2023-03-28,0.98853,0.9985,0.988,0.99733,47129,0
2023-03-29,0.99716,0.99858,0.99466,0.99582,45692,0
2023-03-30,0.99523,0.998,0.99331,0.99604,46997,0
2023-03-31,0.99502,0.99901,0.99067,0.99176,50856,0
2023-04-03,0.9913,0.99627,0.99034,0.995,56352,0
2023-04-04,0.99497,0.99712,0.99136,0.99277,47366,0
2023-04-05,0.99136,0.9932,0.98693,0.98878,44187,0
2023-04-06,0.98677,0.98898,0.98511,0.98781,38614,0
2023-04-07,0.98745,0.9891,0.98492,0.98636,29978,0
2023-04-10,0.98464,0.98882,0.98464,0.98768,35181,0
2023-04-11,0.98619,0.98909,0.98493,0.98573,36502,0
2023-04-12,0.985,0.9872,0.98318,0.98515,40183,0
2023-04-13,0.98441,0.98586,0.97987,0.98267,44102,0
2023-04-14,0.9828,0.98455,0.98114,0.98271,41321,0
2023-04-17,0.98237,0.98343,0.98039,0.982,38301,0
2023-04-18,0.98125,0.98443,0.9798,0.98332,37166,0
2023-04-19,0.98271,0.9848,0.98244,0.98319,39706,0
2023-04-20,0.98239,0.98384,0.97885,0.9789,36596,0
2023-04-21,0.97849,0.98082,0.97817,0.98042,37198,0
2023-04-24,0.98068,0.98101,0.9779,0.98049,45772,0
2023-04-25,0.98044,0.98154,0.97767,0.97877,39531,0
2023-04-26,0.97843,0.98452,0.97675,0.98389,47580,0
2023-04-27,0.98368,0.98802,0.98227,0.98635,45011,0
2023-04-28,0.98596,0.98632,0.98155,0.9851,55088,0
2023-05-01,0.98321,0.98562,0.98206,0.98303,38436,0
2023-05-02,0.98257,0.98661,0.9808,0.98249,44138,0
2023-05-03,0.98227,0.98289,0.97793,0.97799,42432,0
2023-05-04,0.9775,0.98129,0.97448,0.97556,54767,0
2023-05-05,0.97513,0.98493,0.97434,0.98137,43674,0
2023-05-08,0.97926,0.98219,0.97859,0.97874,31630,0
2023-05-09,0.97864,0.98005,0.97591,0.97604,35846,0
2023-05-10,0.97597,0.97765,0.97431,0.97712,41055,0
2023-05-11,0.97676,0.97821,0.97464,0.9761,43602,0
2023-05-12,0.97595,0.97614,0.97241,0.97475,36604,0
2023-05-15,0.97259,0.97541,0.97206,0.97395,35369,0
