time,open,high,low,close,volume,spread
2023-03-17,0.87602,0.8783,0.8745,0.87562,71075,0
2023-03-20,0.87448,0.87692,0.87279,0.87332,72982,0
2023-03-21,0.87316,0.88396,0.87284,0.8815,61844,0
2023-03-22,0.88129,0.88541,0.87719,0.88476,65348,0
2023-03-23,0.88476,0.88656,0.88151,0.8816,72111,0
2023-03-24,0.88156,0.88269,0.87771,0.87951,63486,0
2023-03-27,0.88066,0.88089,0.8776,0.87882,50450,0
2023-03-28,0.87864,0.88071,0.8771,0.87886,51132,0
2023-03-29,0.87842,0.88115,0.87807,0.8805,51137,0
2023-03-30,0.88053,0.88287,0.87795,0.88025,52668,0
2023-03-31,0.88044,0.88078,0.87766,0.87934,53151,0
2023-04-03,0.87842,0.88068,0.87711,0.87794,59103,0
2023-04-04,0.87736,0.87859,0.87291,0.87644,55180,0
2023-04-05,0.87548,0.87853,0.87451,0.87525,49455,0
2023-04-06,0.87479,0.87856,0.87389,0.87793,42599,0
2023-04-07,0.87773,0.87905,0.87653,0.87725,33365,0
2023-04-10,0.87676,0.87915,0.87639,0.87706,38394,0
2023-04-11,0.87695,0.87896,0.87627,0.87826,46910,0
2023-04-12,0.87776,0.88196,0.87774,0.88043,50883,0
2023-04-13,0.88014,0.8839,0.87921,0.88208,45117,0
2023-04-14,0.88203,0.88599,0.88125,0.88553,52976,0
2023-04-17,0.88456,0.88643,0.88209,0.88288,50305,0
2023-04-18,0.8825,0.88329,0.88095,0.88321,48948,0
2023-04-19,0.88275,0.88377,0.87916,0.88071,47191,0
2023-04-20,0.88027,0.88255,0.87991,0.88168,48737,0
2023-04-21,0.8813,0.88613,0.88118,0.88319,46417,0
2023-04-24,0.88303,0.88595,0.88253,0.88467,57508,0
2023-04-25,0.88454,0.88752,0.88399,0.88424,47479,0
2023-04-26,0.88409,0.88733,0.88368,0.88536,58042,0
2023-04-27,0.88533,0.88721,0.88217,0.88243,54192,0
2023-04-28,0.8824,0.88391,0.8764,0.87654,62973,0
2023-05-01,0.87734,0.87944,0.87598,0.87839,49686,0
2023-05-02,0.878,0.88247,0.87697,0.88222,58130,0
2023-05-03,0.88198,0.88348,0.87956,0.88036,53706,0
2023-05-04,0.88026,0.88136,0.87458,0.87595,65705,0
2023-05-05,0.87595,0.87678,0.87127,0.87234,45735,0
2023-05-08,0.87226,0.87464,0.8715,0.87201,39621,0
2023-05-09,0.87159,0.87218,0.86794,0.8685,42604,0
2023-05-10,0.86835,0.87014,0.86675,0.86984,44760,0
2023-05-11,0.86986,0.87347,0.86612,0.87237,52300,0
2023-05-12,0.87233,0.87322,0.86932,0.87156,47395,0
2023-05-15,0.87068,0.87188,0.86773,0.86801,38449,0
2023-05-16,0.86794,0.87185,0.86771,0.87002,46262,0
2023-05-17,0.86981,0.87208,0.86701,0.86798,46446,0
2023-05-18,0.86786,0.8702,0.86702,0.86793,46778,0
2023-05-19,0.86784,0.86956,0.86684,0.8681,49931,0
2023-05-22,0.86781,0.87046,0.86753,0.86932,46779,0
2023-05-23,0.86914,0.87187,0.86688,0.86753,52128,0
2023-05-24,0.86766,0.87095,0.86487,0.86932,53598,0
2023-05-25,0.86932,0.87057,0.86656,0.8704,48025,0
2023-05-26,0.87027,0.87097,0.86766,0.86847,46887,0
2023-05-29,0.86819,0.86948,0.86658,0.86674,27254,0
2023-05-30,0.86667,0.86732,0.86281,0.86474,51690,0
2023-05-31,0.86441,0.86495,0.85835,0.8591,53431,0
2023-06-01,0.85917,0.86043,0.85672,0.85918,50425,0
2023-06-02,0.85918,0.86054,0.85783,0.85994,47897,0
2023-06-05,0.85938,0.86361,0.85866,0.86157,48355,0
2023-06-06,0.86122,0.86245,0.85999,0.86065,43747,0
2023-06-07,0.86037,0.86128,0.85837,0.86016,45786,0
2023-06-08,0.85996,0.86138,0.85831,0.8585,44632,0
2023-06-09,0.8583,0.85904,0.85411,0.8543,39315,0
2023-06-12,0.85437,0.86068,0.85361,0.85974,44047,0
2023-06-13,0.85973,0.86129,0.85533,0.85579,46950,0
2023-06-14,0.85575,0.85604,0.8541,0.85536,45142,0
2023-06-15,0.85513,0.85915,0.85437,0.85608,47897,0
2023-06-16,0.85558,0.85658,0.85215,0.85329,44622,0
2023-06-19,0.85299,0.85479,0.85184,0.85363,32509,0
2023-06-20,0.85341,0.8581,0.85275,0.85535,48453,0
2023-06-21,0.85529,0.86085,0.85247,0.86048,53892,0
2023-06-22,0.85983,0.8636,0.85621,0.8594,53179,0
2023-06-23,0.85939,0.86081,0.85357,0.85672,55745,0
2023-06-26,0.85704,0.85948,0.85427,0.85793,46837,0
2023-06-27,0.8576,0.86134,0.85678,0.85975,48639,0
2023-06-28,0.85949,0.86582,0.85914,0.86364,52228,0
2023-06-29,0.86357,0.86432,0.86106,0.86135,47358,0
2023-06-30,0.86112,0.86176,0.85759,0.85908,49500,0
