time,open,high,low,close,volume,spread
2023-03-17,141.742,142.208,140.158,140.617,138026,0
2023-03-20,140.899,141.749,138.825,140.813,148779,0
2023-03-21,140.759,142.789,140.421,142.656,113156,0
2023-03-22,142.57,143.628,142.302,142.752,117398,0
2023-03-23,142.661,143.2,141.163,141.736,135602,0
2023-03-24,141.613,141.844,139.069,140.621,138199,0
2023-03-27,140.619,142.222,140.547,142.072,100711,0
2023-03-28,142.001,142.151,141.045,141.973,100288,0
2023-03-29,141.873,144.099,141.787,144.083,102142,0
2023-03-30,144.011,145.082,143.129,144.7,97443,0
2023-03-31,144.626,145.669,143.879,143.998,106500,0
2023-04-03,144.547,144.94,143.624,144.352,107795,0
2023-04-04,144.254,145.436,143.961,144.303,99756,0
2023-04-05,144.114,144.442,142.675,143.154,100409,0
2023-04-06,143.073,144.0,142.547,143.859,84260,0
2023-04-07,143.847,144.234,143.541,143.948,66276,0
2023-04-10,143.99,145.151,143.803,145.098,83109,0
2023-04-11,145.068,145.966,144.875,145.895,89380,0
2023-04-12,145.836,146.666,145.771,146.343,104444,0
2023-04-13,146.268,146.886,146.074,146.457,92197,0
2023-04-14,146.447,147.157,146.241,147.031,100530,0
2023-04-17,146.975,147.456,146.663,146.94,84507,0
2023-04-18,146.842,147.383,146.725,147.156,91265,0
2023-04-19,147.093,147.857,147.037,147.587,89053,0
2023-04-20,147.518,147.83,147.021,147.272,94143,0
2023-04-21,147.212,147.564,146.401,147.386,86541,0
2023-04-24,147.167,148.47,147.086,148.296,91692,0
2023-04-25,148.253,148.625,146.287,146.754,88129,0
2023-04-26,146.689,147.912,146.459,147.542,106359,0
2023-04-27,147.554,147.992,147.14,147.747,97372,0
2023-04-28,147.635,150.434,146.875,150.041,125256,0
2023-05-01,150.129,150.963,149.951,150.931,87212,0
2023-05-02,150.895,151.612,149.831,150.249,105186,0
2023-05-03,150.202,150.393,149.062,149.117,108438,0
2023-05-04,148.98,149.201,147.131,147.87,130726,0
2023-05-05,147.849,148.707,147.684,148.557,95203,0
2023-05-08,148.531,149.267,148.443,148.684,87564,0
2023-05-09,148.625,148.693,147.891,148.236,97213,0
2023-05-10,148.126,148.667,147.042,147.547,106509,0
2023-05-11,147.517,147.6,146.131,146.884,111230,0
2023-05-12,146.718,147.468,146.663,147.254,94887,0
2023-05-15,147.349,148.177,147.204,148.011,89376,0
2023-05-16,148.002,148.5,147.607,148.146,86017,0
2023-05-17,148.101,149.253,148.05,149.245,91715,0
2023-05-18,149.214,149.451,148.774,149.382,92951,0
2023-05-19,149.39,149.798,148.713,149.083,102816,0
2023-05-22,148.978,149.924,148.841,149.844,92090,0
2023-05-23,149.86,150.053,149.103,149.251,104652,0
2023-05-24,149.25,149.939,148.839,149.917,108502,0
2023-05-25,149.863,150.316,149.287,150.19,110850,0
2023-05-26,150.163,150.932,149.798,150.782,99110,0
2023-05-29,150.572,151.066,150.094,150.392,57641,0
2023-05-30,150.218,150.625,149.733,150.046,103573,0
2023-05-31,150.05,150.1,148.592,148.93,105001,0
2023-06-01,148.953,149.681,148.62,149.38,98663,0
2023-06-02,149.347,149.962,149.247,149.869,88612,0
2023-06-05,149.834,150.198,149.232,149.524,85597,0
2023-06-06,149.51,149.695,148.825,149.307,87333,0
2023-06-07,149.289,150.021,148.633,149.967,92359,0
2023-06-08,149.786,150.045,149.588,149.798,88404,0
2023-06-09,149.76,150.44,149.63,149.809,87202,0
2023-06-12,149.7,150.348,149.666,150.185,82112,0
2023-06-13,150.105,151.375,150.031,151.348,96044,0
