time,open,high,low,close,volume,spread
2023-03-16,1.05769,1.06356,1.05511,1.06138,99399,0
2023-03-17,1.06082,1.06854,1.06047,1.06647,76784,0
2023-03-20,1.06884,1.07308,1.06313,1.07237,82740,0
2023-03-21,1.07181,1.07884,1.0704,1.07698,58897,0
2023-03-22,1.07662,1.09124,1.07591,1.08551,67622,0
2023-03-23,1.08555,1.093,1.08243,1.08327,74525,0
2023-03-24,1.08273,1.0838700000000001,1.07132,1.07587,77802,0
2023-03-27,1.0775,1.08,1.0745,1.07987,57844,0
2023-03-28,1.0796000000000001,1.08486,1.07939,1.0846,52916,0
2023-03-29,1.08424,1.08713,1.08178,1.08445,53939,0
2023-03-30,1.08433,1.09263,1.08236,1.09056,53925,0
2023-03-31,1.09056,1.0925799999999999,1.08369,1.08415,58264,0
2023-04-03,1.08397,1.09168,1.07882,1.09027,60678,0
2023-04-04,1.08965,1.09733,1.08828,1.09559,57830,0
2023-04-05,1.09466,1.09696,1.08912,1.09073,54292,0
2023-04-06,1.09019,1.09376,1.08846,1.09205,46405,0
2023-04-07,1.092,1.09241,1.08767,1.08986,18148,0
2023-04-10,1.08974,1.09174,1.08313,1.08605,40572,0
2023-04-11,1.08577,1.09281,1.08532,1.09131,48294,0
2023-04-12,1.0909,1.10002,1.0909,1.09915,51185,0
2023-04-13,1.09917,1.10677,1.09769,1.1047,50302,0
2023-04-14,1.10462,1.10759,1.09724,1.09942,52522,0
2023-04-17,1.09887,1.09998,1.0909200000000001,1.09275,49987,0
2023-04-18,1.09216,1.0983,1.09215,1.0973600000000001,45953,0
2023-04-19,1.09714,1.0984099999999999,1.09174,1.0956,49787,0
2023-04-20,1.09539,1.09898,1.09335,1.09706,49880,0
2023-04-21,1.09654,1.09938,1.09381,1.09894,49021,0
2023-04-24,1.09912,1.1050200000000001,1.0966,1.10463,53892,0
2023-04-25,1.10452,1.10672,1.09642,1.09739,49876,0
2023-04-26,1.09715,1.10954,1.09664,1.1039,59637,0
2023-04-27,1.10399,1.10635,1.09922,1.10289,52602,0
2023-04-28,1.10264,1.10451,1.09625,1.10165,65235,0
2023-05-01,1.10222,1.10356,1.09643,1.09764,46742,0
2023-05-02,1.09718,1.1008,1.0942,1.09992,54988,0
2023-05-03,1.09972,1.1091199999999999,1.09966,1.10623,57768,0
2023-05-04,1.10591,1.10917,1.09863,1.10122,68971,0
2023-05-05,1.1007500000000001,1.10478,1.09668,1.10185,50962,0
2023-05-08,1.10204,1.10537,1.10002,1.1004,41056,0
2023-05-09,1.10038,1.1005,1.09412,1.09615,44390,0
2023-05-10,1.096,1.1007,1.09415,1.09824,49161,0
2023-05-11,1.09805,1.09981,1.09002,1.09157,53114,0
2023-05-12,1.09154,1.09356,1.0848,1.08496,45625,0
2023-05-15,1.08562,1.0890900000000001,1.08456,1.08745,39824,0
2023-05-16,1.08735,1.09047,1.0855,1.08627,44777,0
2023-05-17,1.08605,1.0873599999999999,1.08102,1.0838700000000001,46651,0
2023-05-18,1.08391,1.08481,1.07626,1.077,43909,0
2023-05-19,1.0769,1.08288,1.07599,1.08059,51318,0
2023-05-22,1.08044,1.08314,1.07955,1.08122,47118,0
2023-05-23,1.08108,1.08206,1.07603,1.07706,48830,0
2023-05-24,1.07693,1.08012,1.0748199999999999,1.07494,53075,0
2023-05-25,1.07489,1.07568,1.07073,1.07252,51572,0
2023-05-26,1.07241,1.07588,1.07018,1.07251,48465,0
2023-05-29,1.07158,1.07435,1.07056,1.0709,22816,0
2023-05-30,1.0707,1.07466,1.06725,1.0734,50761,0
2023-05-31,1.07341,1.07358,1.06352,1.06883,54635,0
2023-06-01,1.06897,1.07685,1.06618,1.07624,52382,0
2023-06-02,1.07618,1.0779,1.07054,1.07073,46905,0
2023-06-05,1.07099,1.07223,1.06746,1.07122,42868,0
2023-06-06,1.07118,1.07328,1.0667,1.06924,42505,0
2023-06-07,1.06923,1.07397,1.06683,1.0699,44014,0
2023-06-08,1.06974,1.07871,1.0693,1.07832,45014,0
2023-06-09,1.07805,1.07852,1.0743,1.07491,40632,0
2023-06-12,1.07462,1.07901,1.07331,1.07578,39650,0
2023-06-13,1.07545,1.08236,1.07529,1.0793,49993,0
2023-06-14,1.07934,1.08641,1.07741,1.0831,50573,0
2023-06-15,1.08258,1.09527,1.08038,1.09456,52075,0
2023-06-16,1.09444,1.09708,1.09182,1.09421,47927,0
2023-06-19,1.09399,1.09462,1.09072,1.09215,34876,0
2023-06-20,1.09198,1.09462,1.08922,1.0918,49312,0
2023-06-21,1.09128,1.09908,1.09058,1.09862,52768,0
2023-06-22,1.09861,1.10123,1.09486,1.09559,51164,0
2023-06-23,1.09556,1.09587,1.08446,1.08954,54169,0
2023-06-26,1.0905,1.09202,1.08876,1.09053,43968,0
2023-06-27,1.09057,1.09768,1.09022,1.09609,50318,0
2023-06-28,1.09601,1.09626,1.0897000000000001,1.0913,50058,0
2023-06-29,1.09128,1.09413,1.08602,1.08642,52523,0
2023-06-30,1.08651,1.09318,1.08354,1.09098,51728,0
2023-07-03,1.09105,1.09337,1.08703,1.09139,43504,0
2023-07-04,1.09105,1.09164,1.08768,1.08793,28410,0
2023-07-05,1.08791,1.0908,1.0851,1.0854,45097,0
2023-07-06,1.08536,1.09006,1.08334,1.08922,58240,0
