time,open,high,low,close,volume,spread
2023-03-16,1.1247,1.12841,1.11601,1.1253,90612,0
2023-03-17,1.12523,1.1314899999999999,1.12194,1.12788,75956,2
2023-03-20,1.12941,1.141,1.12569,1.14097,73156,2
2023-03-21,1.14011,1.14131,1.12302,1.1268,55936,2
2023-03-22,1.12657,1.1342,1.12473,1.12536,69103,2
2023-03-23,1.12448,1.13031,1.12286,1.12608,71506,1
2023-03-24,1.12563,1.12721,1.12056,1.1249,65579,2
2023-03-27,1.12214,1.1263,1.12116,1.1249,57963,2
2023-03-28,1.12414,1.13586,1.12414,1.13473,49260,2
2023-03-29,1.1345,1.13613,1.1308,1.13085,52215,2
2023-03-30,1.12977,1.13283,1.12792,1.13147,54508,2
2023-03-31,1.13142,1.13649,1.12747,1.12781,56266,1
2023-04-03,1.12926,1.13429,1.12664,1.13323,59017,2
2023-04-04,1.1326,1.14146,1.13104,1.13268,54462,2
2023-04-05,1.13137,1.13291,1.12523,1.12971,49802,2
2023-04-06,1.12879,1.13056,1.12404,1.12501,43073,2
2023-04-07,1.12465,1.12624,1.12202,1.12347,28853,3
2023-04-10,1.12279,1.12697,1.1218,1.12599,36619,3
2023-04-11,1.12558,1.12686,1.1213899999999999,1.12229,43453,2
2023-04-12,1.12169,1.12274,1.11547,1.11884,48085,0
2023-04-13,1.11823,1.12047,1.11022,1.11386,47719,1
2023-04-14,1.11339,1.11428,1.10919,1.10956,49317,2
2023-04-17,1.10972,1.11283,1.10705,1.11228,44174,2
2023-04-18,1.11161,1.11679,1.11102,1.11334,41894,2
2023-04-19,1.11326,1.11919,1.11286,1.11629,46516,2
2023-04-20,1.11611,1.11658,1.11025,1.11032,46483,2
2023-04-21,1.1101,1.1111,1.10534,1.11002,46046,2
2023-04-24,1.10957,1.1108500000000001,1.10561,1.10822,57094,2
2023-04-25,1.1078999999999999,1.10892,1.10274,1.10681,47087,2
2023-04-26,1.10568,1.11245,1.10433,1.1112,55085,2
2023-04-27,1.11068,1.11859,1.10906,1.11766,54457,2
