time,open,high,low,close,volume,spread
2023-03-16 00:00:00,1.1247,1.12605,1.12262,1.125,8665,9
2023-03-16 04:00:00,1.125,1.12552,1.12281,1.12343,12147,10
2023-03-16 08:00:00,1.12345,1.12368,1.11714,1.11863,14428,4
2023-03-16 12:00:00,1.11863,1.12076,1.11601,1.1172,15223,2
2023-03-16 16:00:00,1.11718,1.12716,1.1164,1.12525,26656,0
2023-03-16 20:00:00,1.12522,1.12841,1.12472,1.1253,13493,2
2023-03-17 00:00:00,1.12523,1.12614,1.1241,1.12537,5595,10
2023-03-17 04:00:00,1.12536,1.12599,1.12477,1.12548,10299,4
2023-03-17 08:00:00,1.1255,1.12662,1.12276,1.12305,12976,2
2023-03-17 12:00:00,1.12303,1.12667,1.12194,1.1259299999999999,13441,2
2023-03-17 16:00:00,1.12591,1.13133,1.12554,1.13071,20766,2
2023-03-17 20:00:00,1.13071,1.1314899999999999,1.12644,1.12788,12879,2
2023-03-20 00:00:00,1.12941,1.13091,1.12797,1.12967,9072,6
2023-03-20 04:00:00,1.12967,1.12997,1.12724,1.1278299999999999,8708,5
2023-03-20 08:00:00,1.1278299999999999,1.1341,1.12569,1.13404,15504,2
2023-03-20 12:00:00,1.13403,1.13518,1.1317599999999999,1.13421,18242,2
2023-03-20 16:00:00,1.1342,1.13664,1.13266,1.13624,15093,2
2023-03-20 20:00:00,1.13626,1.141,1.13594,1.14097,6537,2
2023-03-21 00:00:00,1.14011,1.14112,1.13794,1.13982,7676,12
2023-03-21 04:00:00,1.13979,1.14041,1.13815,1.13922,6749,7
2023-03-21 08:00:00,1.1392,1.14131,1.1353,1.1353,10728,2
2023-03-21 12:00:00,1.13531,1.1368,1.13141,1.13228,11408,2
2023-03-21 16:00:00,1.13228,1.1326100000000001,1.12302,1.12455,12846,2
2023-03-21 20:00:00,1.12462,1.12744,1.12439,1.1268,6529,2
2023-03-22 00:00:00,1.12657,1.12731,1.12588,1.12704,4069,10
2023-03-22 04:00:00,1.12704,1.12913,1.12613,1.12875,8625,8
2023-03-22 08:00:00,1.12876,1.13339,1.12768,1.13214,11999,4
2023-03-22 12:00:00,1.13216,1.1342,1.131,1.13239,11565,2
2023-03-22 16:00:00,1.13239,1.13306,1.12821,1.1302,11759,2
2023-03-22 20:00:00,1.1301700000000001,1.13199,1.12473,1.12536,21086,4
2023-03-23 00:00:00,1.12448,1.12684,1.12396,1.12565,5385,9
2023-03-23 04:00:00,1.12565,1.12803,1.12565,1.12772,8106,10
2023-03-23 08:00:00,1.12772,1.12897,1.12286,1.126,15227,1
2023-03-23 12:00:00,1.12599,1.13031,1.12457,1.12528,14784,2
2023-03-23 16:00:00,1.12528,1.12819,1.12472,1.12605,14454,2
