time,open,high,low,close,volume,spread
2023-03-16,160.781,162.106,158.55,161.985,170882,0
2023-03-17,161.734,162.177,160.112,160.538,146307,0
2023-03-20,160.876,161.728,158.959,161.228,162142,0
2023-03-21,161.202,162.263,160.76,161.825,109473,0
2023-03-22,161.814,163.341,160.792,161.329,125446,0
2023-03-23,161.162,161.854,159.936,160.771,144332,0
2023-03-24,160.65,160.84,158.261,159.852,138340,0
2023-03-27,159.65,161.85,159.588,161.673,110239,0
2023-03-28,161.536,161.779,160.732,161.529,106791,0
2023-03-29,161.447,163.681,161.349,163.63,109477,0
2023-03-30,163.531,164.453,162.972,164.378,108752,0
2023-03-31,164.281,165.468,163.624,163.756,114778,0
2023-04-03,164.395,164.896,163.426,164.419,113793,0
2023-04-04,164.298,166.403,164.177,164.648,107617,0
2023-04-05,164.621,164.671,162.776,163.553,111844,0
2023-04-06,163.54,164.111,162.895,163.851,86987,0
2023-04-07,163.849,164.394,163.462,164.052,74761,0
2023-04-10,164.077,165.495,163.803,165.427,81643,0
2023-04-11,165.417,166.193,165.188,166.117,90908,0
2023-04-12,166.032,166.595,165.384,166.207,103201,0
2023-04-13,166.195,166.845,165.411,166.026,96768,0
2023-04-14,166.009,166.235,165.407,166.012,100357,0
2023-04-17,166.024,166.63,165.69,166.433,95710,0
2023-04-18,166.27,167.01,166.167,166.621,102513,0
2023-04-19,166.619,167.971,166.485,167.577,99523,0
2023-04-20,167.528,167.704,166.842,167.041,106141,0
2023-04-21,166.961,167.083,165.526,166.863,100279,0
2023-04-24,166.554,167.722,166.543,167.63,102983,0
2023-04-25,167.562,167.956,165.422,165.949,103161,0
2023-04-26,165.903,167.01,165.65,166.639,116360,0
2023-04-27,166.598,167.501,166.31,167.434,112734,0
2023-04-28,167.273,171.164,166.472,171.091,133407,0
2023-05-01,170.85,172.096,170.85,171.766,81995,0
2023-05-02,171.75,172.325,169.954,170.276,109170,0
2023-05-03,170.183,170.372,169.143,169.361,115240,0
2023-05-04,169.103,169.539,168.058,168.817,135817,0
2023-05-05,168.775,170.616,168.654,170.269,98127,0
2023-05-08,170.244,171.069,170.178,170.501,82940,0
2023-05-09,170.35,170.711,169.855,170.672,102840,0
2023-05-10,170.543,171.177,169.103,169.621,104871,0
2023-05-11,169.532,169.732,167.841,168.365,113090,0
2023-05-12,168.156,169.133,168.124,168.947,96945,0
2023-05-15,168.97,170.621,168.788,170.506,88524,0
2023-05-16,170.502,170.836,169.398,170.278,91393,0
2023-05-17,170.241,172.007,170.109,171.939,96888,0
2023-05-18,171.87,172.159,171.189,172.106,97788,0
2023-05-19,172.122,172.503,171.242,171.73,105312,0
2023-05-22,171.574,172.578,171.198,172.355,95312,0
2023-05-23,172.36,172.623,171.286,172.033,107809,0
2023-05-24,171.992,172.792,171.227,172.44,112692,0
2023-05-25,172.4,172.772,171.693,172.549,112517,0
2023-05-26,172.552,173.733,172.207,173.558,104824,0
2023-05-29,173.471,173.97,172.947,173.51,59819,0
2023-05-30,173.311,174.273,172.989,173.501,103255,0
2023-05-31,173.51,173.644,172.525,173.353,108339,0
2023-06-01,173.313,174.166,172.966,173.848,102116,0
2023-06-02,173.809,174.679,173.737,174.27,92524,0
2023-06-05,174.281,174.36,172.85,173.546,90569,0
2023-06-06,173.505,173.772,172.677,173.475,89411,0
2023-06-07,173.476,174.436,172.665,174.342,93951,0
2023-06-08,174.166,174.515,173.904,174.481,95824,0
2023-06-09,174.466,175.542,174.288,175.319,86268,0
2023-06-12,175.104,175.767,174.349,174.679,84030,0
2023-06-13,174.571,176.863,174.457,176.844,96894,0
2023-06-14,176.823,177.408,176.445,177.373,101987,0
2023-06-15,177.268,179.397,177.222,179.337,108266,0
2023-06-16,179.3,182.041,178.824,181.902,109636,0
2023-06-19,181.636,182.124,181.217,181.653,70872,0
