time,open,high,low,close,volume,spread
2023-03-17,1.21078,1.22008,1.20953,1.21772,96976,0
2023-03-20,1.22069,1.22848,1.21668,1.22789,99040,0
2023-03-21,1.22775,1.22827,1.21787,1.22173,65452,0
2023-03-22,1.22152,1.23348,1.22085,1.22683,78503,0
2023-03-23,1.22622,1.23432,1.22605,1.22868,91312,0
2023-03-24,1.22833,1.22923,1.21903,1.22295,85166,0
2023-03-27,1.2221899999999999,1.22932,1.22184,1.22877,70945,0
2023-03-28,1.22805,1.23493,1.22782,1.23404,63738,0
2023-03-29,1.23414,1.23616,1.23026,1.23156,70538,0
2023-03-30,1.23129,1.23928,1.22936,1.23888,69814,0
2023-03-31,1.23835,1.24232,1.23241,1.2328999999999999,70027,0
2023-04-03,1.23275,1.24234,1.22744,1.2417799999999999,73419,0
2023-04-04,1.24081,1.25252,1.23949,1.2500200000000001,73077,0
2023-04-05,1.25014,1.25145,1.24326,1.24614,67535,0
2023-04-06,1.24619,1.2487,1.24124,1.24382,53260,0
2023-04-07,1.24399,1.24559,1.23891,1.24163,36466,0
2023-04-10,1.24207,1.24428,1.23445,1.23824,49304,0
2023-04-11,1.23821,1.24566,1.23776,1.24255,61007,0
2023-04-12,1.2424,1.24952,1.23983,1.24836,65011,0
2023-04-13,1.24846,1.25375,1.24754,1.25231,63072,0
2023-04-14,1.25226,1.25468,1.23992,1.24138,66777,0
2023-04-17,1.24054,1.24383,1.23533,1.2377,61647,0
2023-04-18,1.23713,1.24499,1.23675,1.24247,56860,0
2023-04-19,1.24243,1.24745,1.23923,1.24395,61319,0
2023-04-20,1.24374,1.24676,1.24047,1.24432,60504,0
2023-04-21,1.2443,1.24482,1.23669,1.24418,59361,0
2023-04-24,1.24359,1.24862,1.24106,1.24861,62262,0
2023-04-25,1.24845,1.25073,1.23867,1.24102,58942,0
2023-04-26,1.24063,1.25156,1.24026,1.24676,70991,0
2023-04-27,1.24631,1.24997,1.2436,1.24978,67857,0
2023-04-28,1.24947,1.25842,1.24466,1.25662,79171,0
2023-05-01,1.2555,1.2570299999999999,1.24806,1.24954,56446,0
2023-05-02,1.2494399999999999,1.25123,1.24353,1.24675,68876,0
2023-05-03,1.24648,1.25902,1.246,1.25655,70340,0
2023-05-04,1.25553,1.2599,1.25481,1.25724,83025,0
2023-05-05,1.25704,1.26524,1.25583,1.26309,61539,0
2023-05-08,1.26258,1.26689,1.2612999999999999,1.2618800000000001,47149,0
2023-05-09,1.2615,1.26397,1.25782,1.26208,54537,0
2023-05-10,1.26189,1.268,1.26024,1.26247,55386,0
2023-05-11,1.26243,1.26409,1.24965,1.25121,65463,0
2023-05-12,1.25104,1.25408,1.24447,1.2448,54111,0
2023-05-15,1.24526,1.25348,1.2443,1.2528000000000001,45210,0
2023-05-16,1.2527599999999999,1.2546599999999999,1.24654,1.24852,54680,0
2023-05-17,1.2489,1.25105,1.24217,1.24868,56076,0
2023-05-18,1.24863,1.24929,1.23917,1.24082,54531,0
2023-05-19,1.2408,1.24838,1.2392400000000001,1.24462,63536,0
2023-05-22,1.24356,1.24723,1.24137,1.24368,57240,0
2023-05-23,1.24366,1.24465,1.2373,1.24145,62658,0
2023-05-24,1.24106,1.24695,1.23578,1.2364600000000001,67919,0
2023-05-25,1.23644,1.23868,1.23081,1.23218,63050,0
2023-05-26,1.23215,1.23954,1.23109,1.23457,60702,0
2023-05-29,1.23362,1.2372,1.23334,1.23542,29518,0
2023-05-30,1.2349700000000001,1.24466,1.23271,1.24121,61835,0
2023-05-31,1.24101,1.2444,1.2348,1.24409,65444,0
2023-06-01,1.24395,1.25399,1.2401200000000001,1.25261,63095,0
2023-06-02,1.2524,1.25448,1.24415,1.24506,56507,0
2023-06-05,1.24489,1.24496,1.23684,1.24332,57370,0
2023-06-06,1.24283,1.24592,1.23918,1.24234,53656,0
2023-06-07,1.24223,1.25,1.23952,1.24382,53797,0
2023-06-08,1.2435100000000001,1.2561,1.24309,1.25601,56732,0
2023-06-09,1.25579,1.25905,1.2534100000000001,1.2579500000000001,50146,0
2023-06-12,1.25586,1.25997,1.24869,1.25121,46548,0
2023-06-13,1.2509700000000001,1.2625,1.25076,1.26114,61959,0
2023-06-14,1.26118,1.2699099999999999,1.2600799999999999,1.26619,61980,0
2023-06-15,1.26614,1.27857,1.26295,1.27847,57652,0
2023-06-16,1.27812,1.28482,1.27681,1.28228,61505,0
2023-06-19,1.28125,1.2837100000000001,1.27705,1.2793,42620,0
2023-06-20,1.27894,1.2806600000000001,1.27136,1.27646,69564,0
2023-06-21,1.2763,1.28023,1.26912,1.27674,73793,0
2023-06-22,1.2765,1.28418,1.27259,1.27478,71107,0
2023-06-23,1.27475,1.27497,1.26852,1.27159,70008,0
2023-06-26,1.27072,1.2748599999999999,1.2688,1.27109,59238,0
2023-06-27,1.27089,1.27593,1.2703,1.2748,64432,0
2023-06-28,1.27484,1.27522,1.26065,1.26353,64681,0
2023-06-29,1.26349,1.26668,1.25909,1.26121,61078,0
2023-06-30,1.26128,1.27276,1.25991,1.26979,61788,0
2023-07-03,1.26906,1.2723200000000001,1.26585,1.26907,53459,0
2023-07-04,1.26922,1.2739500000000001,1.26824,1.2713,35902,0
2023-07-05,1.27105,1.27355,1.26881,1.2704,51750,0
2023-07-06,1.27032,1.27812,1.26738,1.27392,68663,0
2023-07-07,1.2739500000000001,1.2849599999999999,1.27258,1.2839800000000001,61488,0
2023-07-10,1.28315,1.28684,1.27506,1.28607,55418,0
2023-07-11,1.28606,1.2934700000000001,1.2851,1.2931599999999999,56272,0
2023-07-12,1.29324,1.30006,1.2904,1.29884,64839,0
2023-07-13,1.29874,1.3141,1.29804,1.31352,66843,0
2023-07-14,1.31336,1.31421,1.30896,1.30923,65111,0
2023-07-17,1.3092,1.3109199999999999,1.3050899999999999,1.30731,55798,0
2023-07-18,1.30727,1.31256,1.3028,1.30345,67572,0
2023-07-19,1.30353,1.3041,1.28675,1.29397,72815,0
2023-07-20,1.2935699999999999,1.29648,1.28396,1.28675,61067,0
2023-07-21,1.28665,1.29041,1.2816100000000001,1.28518,58096,0
2023-07-24,1.28434,1.28839,1.27978,1.28238,66130,0
2023-07-25,1.28257,1.2904499999999999,1.28095,1.29025,60646,0
2023-07-26,1.29014,1.29603,1.28753,1.29419,67857,0
2023-07-27,1.2938100000000001,1.29956,1.2781799999999999,1.27953,79411,0
2023-07-28,1.27932,1.2887,1.27628,1.2846600000000001,77999,0
2023-07-31,1.28399,1.28728,1.2828300000000001,1.2834699999999999,61466,0
2023-08-01,1.28346,1.28415,1.27412,1.2776100000000001,59126,0
2023-08-02,1.27749,1.28049,1.26804,1.27102,72161,0
2023-08-03,1.27106,1.27283,1.26204,1.2708599999999999,70257,0
2023-08-04,1.27081,1.2792,1.26836,1.27501,66348,0
2023-08-07,1.2747600000000001,1.27892,1.27128,1.27839,53140,0
2023-08-08,1.27832,1.27854,1.2684199999999999,1.2748300000000001,59368,0
2023-08-09,1.27467,1.2782200000000001,1.2711999999999999,1.27173,53039,0
2023-08-10,1.27185,1.28186,1.26696,1.26749,64753,0
2023-08-11,1.26737,1.27386,1.26657,1.26978,59537,0
2023-08-14,1.26913,1.27149,1.26166,1.26867,64332,0
2023-08-15,1.26748,1.27525,1.26748,1.27037,70333,0
2023-08-16,1.27032,1.27665,1.26868,1.27318,61418,0
2023-08-17,1.27295,1.27874,1.27029,1.27472,68853,0
2023-08-18,1.2745600000000001,1.2766199999999999,1.26892,1.27315,62409,0
2023-08-21,1.2727,1.27668,1.27105,1.27569,61605,0
2023-08-22,1.27539,1.28003,1.27186,1.27316,55629,0
2023-08-23,1.27321,1.27646,1.26145,1.27243,63505,0
2023-08-24,1.27206,1.27284,1.25912,1.2601,60286,0
2023-08-25,1.2598500000000001,1.26541,1.25479,1.25773,61965,0
2023-08-28,1.2578,1.26108,1.25654,1.26026,49974,0
2023-08-29,1.26013,1.26551,1.25627,1.2643499999999999,64097,0
2023-08-30,1.26427,1.27461,1.2618800000000001,1.27211,62759,0
2023-08-31,1.27207,1.27346,1.2652700000000001,1.26725,61336,0
2023-09-01,1.2673,1.27129,1.25772,1.25869,61692,0
2023-09-04,1.2585600000000001,1.26428,1.25844,1.2628599999999999,33989,0
2023-09-05,1.26183,1.26321,1.25279,1.25659,59469,0
2023-09-06,1.25634,1.2588,1.24817,1.25064,58597,0
2023-09-07,1.25034,1.25083,1.24458,1.2471,57376,0
2023-09-08,1.24716,1.25143,1.24512,1.24619,55441,0
2023-09-11,1.24923,1.2548,1.24628,1.25086,56275,0
2023-09-12,1.25089,1.25299,1.24596,1.24927,51561,0
2023-09-13,1.24863,1.25119,1.24343,1.249,63044,0
2023-09-14,1.24871,1.25062,1.23963,1.24098,60233,0
2023-09-15,1.2408299999999999,1.24459,1.23787,1.23833,54223,0
2023-09-18,1.23762,1.24105,1.23702,1.23852,40651,0
2023-09-19,1.23798,1.24247,1.23699,1.23915,43390,0
2023-09-20,1.23916,1.24216,1.2332,1.23442,55989,0
2023-09-21,1.23411,1.23464,1.22316,1.22944,54361,0
2023-09-22,1.22946,1.2296,1.22305,1.22359,50350,0
