time,open,high,low,close,volume,spread
2023-03-16,82.437,82.859,81.131,82.841,111589,0
2023-03-17,82.82,83.314,82.402,82.608,92261,0
2023-03-20,82.743,83.262,81.464,82.005,110496,0
2023-03-21,81.998,82.157,81.399,82.033,70029,0
2023-03-22,81.999,82.665,81.533,81.769,74093,0
2023-03-23,81.706,82.475,81.365,81.76,89122,0
2023-03-24,81.682,81.809,80.429,81.044,94408,0
2023-03-27,80.842,81.545,80.81,81.501,65516,0
2023-03-28,81.5,81.887,81.187,81.832,63557,0
2023-03-29,81.788,82.675,81.594,82.656,61104,0
2023-03-30,82.647,83.109,82.284,83.077,59410,0
2023-03-31,83.051,83.82,82.891,83.069,65618,0
2023-04-03,83.417,83.714,82.644,83.352,67442,0
2023-04-04,83.344,83.813,82.842,83.057,67011,0
2023-04-05,82.979,83.91,82.519,82.906,67645,0
2023-04-06,82.9,82.943,82.143,82.249,52085,0
2023-04-07,82.218,82.766,82.077,82.568,35765,0
2023-04-10,82.454,83.102,82.405,83.072,52289,1
2023-04-11,83.072,83.176,82.528,82.769,51741,0
2023-04-12,82.686,82.998,82.592,82.706,60540,0
2023-04-13,82.626,83.763,82.565,83.46,56400,0
2023-04-14,83.285,83.695,82.886,83.039,59152,0
2023-04-17,82.954,83.213,82.798,83.108,52763,0
2023-04-18,82.953,83.42,82.953,83.236,49336,0
2023-04-19,83.214,83.689,83.17,83.474,51134,0
2023-04-20,83.465,83.572,82.78,82.894,53224,0
2023-04-21,82.786,82.94,81.945,82.319,50348,0
2023-04-24,82.196,82.828,82.149,82.777,64320,0
2023-04-25,82.741,83.07,81.844,82.06,52917,0
2023-04-26,82.064,82.247,81.555,81.708,63669,0
2023-04-27,81.716,82.378,81.632,82.36,56509,0
2023-04-28,82.287,84.32,82.066,84.224,77623,0
2023-05-01,83.962,84.845,83.83,84.748,47515,0
2023-05-02,84.766,85.413,84.563,84.77,60961,0
2023-05-03,84.738,85.045,83.923,83.955,66380,0
2023-05-04,83.849,84.463,83.43,84.333,81245,0
2023-05-05,84.245,84.977,84.225,84.861,54175,0
2023-05-08,84.72,85.857,84.696,85.707,43923,0
2023-05-09,85.618,85.778,85.307,85.656,49031,0
2023-05-10,85.551,85.905,85.062,85.493,57380,0
2023-05-11,85.416,85.62,84.485,84.732,61201,0
2023-05-12,84.609,84.754,83.723,84.009,49155,0
2023-05-15,83.903,84.941,83.902,84.911,48457,0
2023-05-16,84.905,85.222,84.627,84.964,52835,0
2023-05-17,84.947,86.172,84.851,85.99,53353,0
2023-05-18,86.01,86.345,85.688,86.334,57336,0
2023-05-19,86.344,87.088,86.214,86.546,66180,0
2023-05-22,86.319,87.138,86.276,87.12,59562,0
2023-05-23,87.111,87.308,86.398,86.564,65007,0
2023-05-24,86.563,86.682,84.693,85.192,69939,0
2023-05-25,85.152,85.217,84.445,84.897,68932,0
2023-05-26,84.877,85.209,84.637,84.97,60979,0
2023-05-29,84.947,85.338,84.8,85.011,30524,0
2023-05-30,84.889,85.074,84.313,84.468,68980,0
2023-05-31,84.464,84.578,83.637,83.838,67592,0
2023-06-01,83.781,84.293,83.519,84.236,64134,0
2023-06-02,84.224,84.888,84.006,84.782,58936,0
2023-06-05,84.725,85.035,84.552,84.721,54679,0
2023-06-06,84.585,85.092,84.548,84.861,55753,0
2023-06-07,84.853,84.919,84.415,84.586,55864,0
2023-06-08,84.465,84.912,84.392,84.644,53801,0
2023-06-09,84.62,85.554,84.401,85.42,47852,0
2023-06-12,85.196,85.66,85.196,85.455,45962,0
2023-06-13,85.437,86.235,85.151,86.219,56201,0
2023-06-14,86.157,86.993,86.062,86.897,57581,0
2023-06-15,86.849,87.596,86.627,87.457,64219,0
2023-06-16,87.361,88.555,87.271,88.472,63328,0
2023-06-19,88.186,88.49,87.809,88.016,42772,0
2023-06-20,88.007,88.197,86.854,87.212,64852,0
2023-06-21,87.225,88.109,87.005,87.971,64020,0
2023-06-22,87.95,88.507,87.705,88.389,59295,0
2023-06-23,88.358,88.578,87.472,88.223,66314,0
2023-06-26,88.025,88.614,87.977,88.425,58190,0
2023-06-27,88.321,88.976,88.268,88.761,61412,0
2023-06-28,88.759,88.799,87.604,87.713,59692,0
2023-06-29,87.724,88.019,87.596,87.857,60572,0
2023-06-30,87.81,88.635,87.749,88.543,59300,0
2023-07-03,88.387,89.054,88.38,88.988,53060,0
2023-07-04,88.958,89.592,88.822,89.426,33636,0
2023-07-05,89.31,89.694,89.133,89.336,51463,0
2023-07-06,89.323,89.398,88.532,88.677,66218,0
2023-07-07,88.642,88.835,88.171,88.23,61510,0
2023-07-10,88.176,88.623,87.652,87.745,57091,0
2023-07-11,87.707,87.94,86.703,86.918,60671,0
2023-07-12,86.943,87.245,86.239,87.173,72671,0
2023-07-13,87.144,88.341,87.003,88.235,65818,0
2023-07-14,88.198,88.686,87.809,88.403,66679,0
2023-07-17,88.188,88.371,87.452,87.721,52157,0
2023-07-18,87.648,87.982,86.454,87.064,65902,0
2023-07-19,87.036,87.68,86.895,87.431,67280,0
2023-07-20,87.361,87.872,87.173,87.308,67609,0
2023-07-21,87.276,87.903,87.028,87.482,65805,0
2023-07-24,87.285,87.773,87.037,87.77,74222,0
2023-07-25,87.739,87.979,87.521,87.65,61482,0
2023-07-26,87.641,87.77,87.002,87.041,74899,0
2023-07-27,87.017,87.786,85.693,86.177,90717,0
2023-07-28,86.142,86.934,84.932,86.883,109910,0
2023-07-31,86.621,88.495,86.6,88.306,78482,0
2023-08-01,88.299,88.591,87.821,88.113,67354,0
2023-08-02,88.111,88.214,86.876,87.099,78757,0
