time,open,high,low,close,volume,spread
2023-03-15 20:00:00,81.959,82.284,81.926,82.206,6482,5
2023-03-15 21:00:00,82.195,82.882,82.128,82.74,7481,3
2023-03-15 22:00:00,82.74,82.807,82.379,82.439,7480,4
2023-03-15 23:00:00,82.445,82.566,82.416,82.522,2669,3
2023-03-16 00:00:00,82.437,82.557,82.112,82.135,332,60
2023-03-16 01:00:00,82.164,82.216,81.856,82.086,2730,7
2023-03-16 02:00:00,82.086,82.174,81.87,81.88,2888,7
2023-03-16 03:00:00,81.879,82.351,81.848,82.338,5664,4
2023-03-16 04:00:00,82.337,82.479,82.078,82.083,4682,2
2023-03-16 05:00:00,82.083,82.104,81.685,81.708,3950,1
2023-03-16 06:00:00,81.708,81.78,81.661,81.742,3304,5
2023-03-16 07:00:00,81.744,81.821,81.619,81.816,2830,2
2023-03-16 08:00:00,81.82,82.089,81.722,81.804,3057,0
2023-03-16 09:00:00,81.807,81.996,81.781,81.938,2848,1
2023-03-16 10:00:00,81.938,82.258,81.863,82.243,5352,3
2023-03-16 11:00:00,82.239,82.287,81.796,81.989,7070,3
2023-03-16 12:00:00,81.985,82.024,81.833,81.994,4949,4
2023-03-16 13:00:00,81.994,82.012,81.734,81.816,3746,0
2023-03-16 14:00:00,81.817,81.892,81.678,81.837,4504,2
2023-03-16 15:00:00,81.838,81.892,81.545,81.669,6714,0
2023-03-16 16:00:00,81.667,81.823,81.131,81.704,9425,1
2023-03-16 17:00:00,81.699,82.095,81.412,81.971,8358,0
2023-03-16 18:00:00,81.974,82.147,81.819,82.087,7775,0
2023-03-16 19:00:00,82.087,82.411,81.909,82.393,6072,0
2023-03-16 20:00:00,82.393,82.515,82.321,82.394,5414,2
2023-03-16 21:00:00,82.36,82.411,82.253,82.376,3960,4
2023-03-16 22:00:00,82.373,82.651,82.365,82.604,3838,0
2023-03-16 23:00:00,82.603,82.859,82.582,82.841,2127,6
2023-03-17 00:00:00,82.82,82.858,82.506,82.679,405,43
2023-03-17 01:00:00,82.721,82.736,82.638,82.638,1619,2
2023-03-17 02:00:00,82.637,82.772,82.611,82.733,1963,3
2023-03-17 03:00:00,82.733,82.833,82.648,82.696,3643,7
2023-03-17 04:00:00,82.693,82.925,82.664,82.906,3708,6
2023-03-17 05:00:00,82.906,83.04,82.872,82.982,2915,3
2023-03-17 06:00:00,82.982,83.072,82.923,83.072,2967,3
2023-03-17 07:00:00,83.072,83.142,83.031,83.046,2535,2
2023-03-17 08:00:00,83.048,83.107,82.913,82.985,2397,0
2023-03-17 09:00:00,82.985,83.05,82.895,83.042,2530,0
2023-03-17 10:00:00,83.041,83.199,82.994,83.126,4733,1
2023-03-17 11:00:00,83.126,83.314,83.101,83.164,5818,2
2023-03-17 12:00:00,83.164,83.22,83.017,83.146,3853,1
2023-03-17 13:00:00,83.146,83.222,82.971,83.03,3435,2
2023-03-17 14:00:00,83.03,83.089,82.648,82.783,5113,3
2023-03-17 15:00:00,82.782,82.843,82.414,82.59,6178,3
2023-03-17 16:00:00,82.597,82.748,82.549,82.702,6635,1
