time,open,high,low,close,volume,spread
2023-03-16,0.93291,0.93414,0.92293,0.92929,86957,0
2023-03-17,0.92934,0.92999,0.92397,0.92631,69856,0
2023-03-20,0.92498,0.93123,0.92402,0.92927,58531,0
2023-03-21,0.92881,0.93169,0.92095,0.9223,54140,0
2023-03-22,0.9222,0.92456,0.91472,0.91734,56175,0
2023-03-23,0.91738,0.91807,0.91185,0.91649,58077,0
2023-03-24,0.91636,0.92169,0.91544,0.91987,59945,0
2023-03-27,0.91811,0.91995,0.91535,0.91549,49525,0
2023-03-28,0.9153,0.92227,0.91367,0.91954,38661,0
2023-03-29,0.91951,0.92231,0.91652,0.91826,42145,0
2023-03-30,0.91819,0.92002,0.9126,0.91333,41616,0
2023-03-31,0.91209,0.91777,0.91157,0.91514,48108,0
2023-04-03,0.91595,0.91961,0.91153,0.91264,49332,0
2023-04-04,0.91258,0.91428,0.9055,0.90613,45305,0
2023-04-05,0.90564,0.90761,0.90066,0.90666,41598,0
2023-04-06,0.90603,0.9075,0.9036,0.90461,36381,0
2023-04-07,0.90406,0.90814,0.9033,0.90501,27729,0
2023-04-10,0.90268,0.91203,0.90268,0.9094,33194,0
2023-04-11,0.90909,0.9096,0.90277,0.90322,34036,0
2023-04-12,0.9033,0.90348,0.89439,0.89631,40701,0
2023-04-13,0.89513,0.89749,0.88598,0.88947,38795,0
2023-04-14,0.88942,0.89589,0.88668,0.89394,39203,0
2023-04-17,0.89399,0.89964,0.89219,0.89867,34283,0
2023-04-18,0.8973,0.89874,0.89545,0.89614,34478,0
2023-04-19,0.89612,0.9003,0.89548,0.89745,37195,0
2023-04-20,0.89704,0.8983,0.89202,0.89232,38216,0
2023-04-21,0.8921,0.89543,0.89078,0.89225,37775,0
2023-04-24,0.89245,0.89282,0.88756,0.88757,49180,0
2023-04-25,0.8876,0.89274,0.88607,0.89191,34834,0
2023-04-26,0.89156,0.89259,0.88516,0.89129,41393,0
2023-04-27,0.89101,0.89764,0.88986,0.8943,41321,0
2023-04-28,0.89425,0.89751,0.88963,0.89414,48289,0
2023-05-01,0.89141,0.89666,0.8914,0.89561,35577,0
2023-05-02,0.89497,0.89949,0.89238,0.89326,40207,0
2023-05-03,0.89289,0.89318,0.88327,0.88414,45683,0
2023-05-04,0.88384,0.88913,0.88201,0.88589,55400,0
2023-05-05,0.88426,0.89735,0.88345,0.89067,40648,0
2023-05-08,0.88941,0.89123,0.88676,0.88941,30803,0
2023-05-09,0.88912,0.89428,0.88885,0.89041,31358,0
2023-05-10,0.89043,0.89272,0.88683,0.88971,38129,0
2023-05-11,0.88969,0.89579,0.88719,0.89422,40051,0
2023-05-12,0.89409,0.89875,0.88971,0.89836,35687,0
2023-05-15,0.89546,0.89878,0.89425,0.89562,32387,0
2023-05-16,0.89561,0.89706,0.89198,0.89629,35338,0
2023-05-17,0.89663,0.90255,0.89492,0.89839,34922,0
2023-05-18,0.89828,0.90627,0.89712,0.90505,34136,0
2023-05-19,0.90514,0.90587,0.89745,0.89947,38398,0
2023-05-22,0.89822,0.8997,0.89409,0.89778,37488,0
2023-05-23,0.89783,0.90294,0.89741,0.90132,38452,0
2023-05-24,0.90123,0.9067,0.90049,0.9051,42323,0
2023-05-25,0.90454,0.90733,0.9037,0.90562,41007,0
2023-05-26,0.9055,0.90743,0.90187,0.90496,37570,0
2023-05-29,0.90491,0.9062,0.90273,0.90441,21100,0
