time,open,high,low,close,volume,spread
2023-03-16,133.373,133.83,131.718,133.75,145762,0
2023-03-17,133.704,133.743,131.556,131.846,125032,0
2023-03-20,131.775,132.65,130.538,131.304,143721,0
2023-03-21,131.317,132.626,131.034,132.457,99754,0
2023-03-22,132.475,132.999,131.004,131.512,103917,0
2023-03-23,131.436,131.662,130.321,130.847,121191,0
2023-03-24,130.787,130.939,129.641,130.715,123275,0
2023-03-27,130.498,131.761,130.466,131.573,95190,0
2023-03-28,131.534,131.572,130.406,130.898,90479,0
2023-03-29,130.855,132.891,130.76,132.863,89477,0
2023-03-30,132.847,132.967,132.205,132.683,85911,0
2023-03-31,132.644,133.597,132.588,132.826,89050,0
2023-04-03,133.367,133.754,132.202,132.405,93067,0
2023-04-04,132.366,133.168,131.522,131.716,82648,0
2023-04-05,131.679,131.846,130.631,131.326,86067,0
2023-04-06,131.31,131.906,130.777,131.773,66012,0
2023-04-07,131.758,132.378,131.526,132.145,53738,0
2023-04-10,132.128,133.871,131.83,133.604,73635,0
2023-04-11,133.594,133.805,132.971,133.69,72316,0
2023-04-12,133.649,134.046,132.735,133.139,90722,0
2023-04-13,133.121,133.393,132.02,132.576,78782,0
2023-04-14,132.575,133.837,132.169,133.735,80539,0
2023-04-17,133.802,134.575,133.711,134.476,74330,0
2023-04-18,134.426,134.708,133.864,134.106,81401,0
2023-04-19,134.098,135.136,133.952,134.712,75221,0
2023-04-20,134.672,134.972,134.014,134.243,78346,0
2023-04-21,134.23,134.493,133.551,134.121,72316,0
2023-04-24,133.942,134.73,133.891,134.251,73937,0
2023-04-25,134.23,134.475,133.37,133.726,74284,0
2023-04-26,133.739,133.943,133.018,133.658,92161,0
2023-04-27,133.659,134.194,133.203,133.989,78615,0
2023-04-28,133.91,136.561,133.35,136.279,103064,0
2023-05-01,136.141,137.54,136.141,137.466,76051,0
2023-05-02,137.484,137.775,136.32,136.562,91412,0
2023-05-03,136.539,136.607,134.736,134.771,93721,0
2023-05-04,134.675,134.879,133.501,134.277,112286,0
2023-05-05,134.246,135.126,133.886,134.824,77502,0
2023-05-08,134.744,135.297,134.642,135.119,74480,0
2023-05-09,135.034,135.357,134.722,135.233,88500,0
2023-05-10,135.16,135.47,134.115,134.36,94073,0
