Date,Equity,Peak,Drawdown
2006-02-06,100000.0,100000.0,0.0
2006-02-07,100000.0,100000.0,0.0
2006-02-08,100000.0,100000.0,0.0
2006-02-09,100000.0,100000.0,0.0
2006-02-10,100000.0,100000.0,0.0
2006-02-13,100000.0,100000.0,0.0
2006-02-14,100000.0,100000.0,0.0
2006-02-15,100000.0,100000.0,0.0
2006-02-16,100000.0,100000.0,0.0
2006-02-17,100000.0,100000.0,0.0
2006-02-21,100000.0,100000.0,0.0
2006-02-22,100000.0,100000.0,0.0
2006-02-23,100000.0,100000.0,0.0
2006-02-24,100000.0,100000.0,0.0
2006-02-27,100000.0,100000.0,0.0
2006-02-28,100000.0,100000.0,0.0
2006-03-01,100000.0,100000.0,0.0
2006-03-02,100000.0,100000.0,0.0
2006-03-03,100000.0,100000.0,0.0
2006-03-06,100000.0,100000.0,0.0
2006-03-07,100000.0,100000.0,0.0
2006-03-08,100000.0,100000.0,0.0
2006-03-09,100000.0,100000.0,0.0
2006-03-10,100000.0,100000.0,0.0
2006-03-13,100000.0,100000.0,0.0
2006-03-14,100000.0,100000.0,0.0
2006-03-15,100000.0,100000.0,0.0
2006-03-16,100000.0,100000.0,0.0
2006-03-17,100000.0,100000.0,0.0
2006-03-20,100000.0,100000.0,0.0
2006-03-21,100000.0,100000.0,0.0
2006-03-22,100000.0,100000.0,0.0
2006-03-23,100000.0,100000.0,0.0
2006-03-24,100000.0,100000.0,0.0
2006-03-27,100000.0,100000.0,0.0
2006-03-28,100000.0,100000.0,0.0
2006-03-29,100000.0,100000.0,0.0
2006-03-30,100000.0,100000.0,0.0
2006-03-31,100000.0,100000.0,0.0
2006-04-03,100000.0,100000.0,0.0
2006-04-04,100000.0,100000.0,0.0
2006-04-05,100000.0,100000.0,0.0
2006-04-06,100000.0,100000.0,0.0
2006-04-07,100000.0,100000.0,0.0
2006-04-10,100000.0,100000.0,0.0
2006-04-11,100000.0,100000.0,0.0
2006-04-12,100000.0,100000.0,0.0
2006-04-13,100000.0,100000.0,0.0
2006-04-17,100000.0,100000.0,0.0
2006-04-18,100000.0,100000.0,0.0
2006-04-19,100000.0,100000.0,0.0
2006-04-20,100000.0,100000.0,0.0
2006-04-21,100000.0,100000.0,0.0
2006-04-24,100000.0,100000.0,0.0
2006-04-25,100000.0,100000.0,0.0
2006-04-26,100000.0,100000.0,0.0
2006-04-27,100000.0,100000.0,0.0
2006-04-28,100000.0,100000.0,0.0
2006-05-01,100000.0,100000.0,0.0
2006-05-02,100000.0,100000.0,0.0
2006-05-03,100000.0,100000.0,0.0
2006-05-04,100000.0,100000.0,0.0
2006-05-05,100000.0,100000.0,0.0
2006-05-08,100000.0,100000.0,0.0
2006-05-09,100000.0,100000.0,0.0
2006-05-10,100000.0,100000.0,0.0
2006-05-11,100000.0,100000.0,0.0
2006-05-12,100000.0,100000.0,0.0
2006-05-15,100000.0,100000.0,0.0
2006-05-16,100000.0,100000.0,0.0
2006-05-17,100000.0,100000.0,0.0
2006-05-18,100000.0,100000.0,0.0
2006-05-19,100000.0,100000.0,0.0
2006-05-22,100000.0,100000.0,0.0
2006-05-23,100000.0,100000.0,0.0
2006-05-24,100000.0,100000.0,0.0
2006-05-25,100000.0,100000.0,0.0
2006-05-26,100000.0,100000.0,0.0
2006-05-30,100000.0,100000.0,0.0
2006-05-31,100000.0,100000.0,0.0
2006-06-01,100000.0,100000.0,0.0
2006-06-02,100000.0,100000.0,0.0
2006-06-05,100000.0,100000.0,0.0
2006-06-06,100000.0,100000.0,0.0
2006-06-07,100000.0,100000.0,0.0
2006-06-08,100000.0,100000.0,0.0
2006-06-09,100000.0,100000.0,0.0
2006-06-12,100000.0,100000.0,0.0
2006-06-13,100000.0,100000.0,0.0
2006-06-14,100000.0,100000.0,0.0
2006-06-15,100000.0,100000.0,0.0
2006-06-16,100000.0,100000.0,0.0
2006-06-19,100000.0,100000.0,0.0
2006-06-20,100000.0,100000.0,0.0
2006-06-21,100000.0,100000.0,0.0
2006-06-22,100000.0,100000.0,0.0
2006-06-23,100000.0,100000.0,0.0
2006-06-26,100000.0,100000.0,0.0
2006-06-27,100000.0,100000.0,0.0
2006-06-28,100000.0,100000.0,0.0
2006-06-29,100000.0,100000.0,0.0
2006-06-30,100000.0,100000.0,0.0
2006-07-03,100000.0,100000.0,0.0
2006-07-05,100000.0,100000.0,0.0
2006-07-06,100000.0,100000.0,0.0
2006-07-07,100000.0,100000.0,0.0
2006-07-10,100000.0,100000.0,0.0
2006-07-11,100000.0,100000.0,0.0
2006-07-12,100000.0,100000.0,0.0
2006-07-13,100000.0,100000.0,0.0
2006-07-14,100000.0,100000.0,0.0
2006-07-17,100000.0,100000.0,0.0
2006-07-18,100000.0,100000.0,0.0
2006-07-19,100000.0,100000.0,0.0
2006-07-20,100000.0,100000.0,0.0
2006-07-21,100000.0,100000.0,0.0
2006-07-24,100000.0,100000.0,0.0
2006-07-25,100000.0,100000.0,0.0
2006-07-26,100000.0,100000.0,0.0
2006-07-27,100000.0,100000.0,0.0
2006-07-28,100000.0,100000.0,0.0
2006-07-31,100000.0,100000.0,0.0
2006-08-01,100000.0,100000.0,0.0
2006-08-02,100000.0,100000.0,0.0
2006-08-03,100000.0,100000.0,0.0
2006-08-04,100000.0,100000.0,0.0
2006-08-07,100000.0,100000.0,0.0
2006-08-08,100000.0,100000.0,0.0
2006-08-09,100000.0,100000.0,0.0
2006-08-10,100000.0,100000.0,0.0
2006-08-11,100000.0,100000.0,0.0
2006-08-14,100000.0,100000.0,0.0
2006-08-15,100000.0,100000.0,0.0
2006-08-16,100000.0,100000.0,0.0
2006-08-17,100000.0,100000.0,0.0
2006-08-18,100000.0,100000.0,0.0
2006-08-21,100000.0,100000.0,0.0
2006-08-22,100000.0,100000.0,0.0
2006-08-23,100000.0,100000.0,0.0
2006-08-24,100000.0,100000.0,0.0
2006-08-25,100000.0,100000.0,0.0
2006-08-28,100000.0,100000.0,0.0
2006-08-29,100000.0,100000.0,0.0
2006-08-30,100000.0,100000.0,0.0
